주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,317,432,589,556,683
영업이익,63,45,127,88,88
영업이익(발표기준),63,45,127,88,88
세전계속사업이익,63,51,132,96,118
당기순이익,54,46,116,85,109
  당기순이익(지배),54,46,116,85,109
  당기순이익(비지배),,,,,
자산총계,489,684,814,"1,157","1,253"
부채총계,117,311,305,273,259
자본총계,372,373,509,884,993
  자본총계(지배),372,373,509,884,993
  자본총계(비지배),,,,,
자본금,5,5,5,25,51
영업활동현금흐름,36,30,173,45,92
투자활동현금흐름,-17,-21,-19,-334,-20
재무활동현금흐름,-19,-1,39,287,-3
CAPEX,1,7,4,2,6
FCF,35,22,169,43,86
이자발생부채,74,76,99,124,124
영업이익률,19.96,10.45,21.50,15.90,12.90
순이익률,17.17,10.72,19.73,15.26,15.95
ROE(%),15.78,,26.34,12.19,11.61
ROA(%),11.64,,15.50,8.61,9.04
부채비율,31.39,83.52,59.96,30.87,26.11
자본유보율,"7,337.49","7,350.22","9,847.16","3,371.73","1,849.33"
EPS(원),695,592,"1,484","1,008","1,070"
PER(배),,,,24.20,17.48
BPS(원),"4,754","4,765","6,365","8,679","9,756"
PBR(배),0.00,0.00,0.00,2.81,1.92
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,821,972","7,821,972","8,000,000","10,183,600","10,183,600"
