주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,007","1,693","1,502","1,712","2,596","3,406","3,856","4,282"
영업이익,277,190,-10,42,264,411,491,553
영업이익(발표기준),277,190,-10,42,264,,,
세전계속사업이익,286,196,23,24,299,426,519,588
당기순이익,243,168,19,40,207,320,352,400
  당기순이익(지배),244,165,19,34,201,348,428,487
  당기순이익(비지배),-1,4,0,6,6,,,
자산총계,"1,531","1,755","2,100","2,276","2,638","3,223","3,601","3,822"
부채총계,454,521,835,656,704,"1,015","1,072",934
자본총계,"1,077","1,233","1,265","1,620","1,934","2,209","2,530","2,888"
  자본총계(지배),"1,062","1,215","1,253","1,599","1,907","2,247","2,644","3,088"
  자본총계(비지배),14,18,13,21,27,,,
자본금,63,66,66,83,89,89,89,89
영업활동현금흐름,391,171,-45,255,235,615,603,405
투자활동현금흐름,-213,-178,-246,-14,-149,-176,-157,-150
재무활동현금흐름,116,38,257,50,-60,-11,-25,-34
CAPEX,49,257,321,69,116,138,150,165
FCF,342,-87,-366,185,119,382,423,261
이자발생부채,171,241,540,270,184,,,
영업이익률,13.77,11.19,-0.69,2.43,10.15,12.07,12.73,12.91
순이익률,12.13,9.95,1.25,2.34,7.97,9.38,9.13,9.34
ROE(%),26.09,14.45,1.51,2.39,11.48,16.73,17.50,16.99
ROA(%),18.06,10.25,0.97,1.83,8.42,10.90,10.32,10.78
부채비율,42.19,42.25,65.97,40.48,36.43,45.95,42.37,32.34
자본유보율,"1,599.23","1,760.76","1,799.00","1,901.24","2,176.80",,,
EPS(원),"1,811","1,218",138,242,"1,151","1,951","2,403","2,734"
PER(배),8.54,5.47,68.97,78.67,14.94,7.28,5.91,5.19
BPS(원),"8,006","9,280","9,630","10,105","11,468","13,539","15,931","18,607"
PBR(배),1.93,0.72,0.99,1.88,1.50,1.05,0.89,0.76
현금DPS(원),47,29,0,50,100,160,190,250
현금배당수익률,0.30,0.44,0.00,0.26,0.58,1.13,1.34,1.76
현금배당성향(%),2.54,2.34,0.00,23.25,8.26,8.20,7.91,9.14
발행주식수(보통주),"13,474,808","13,513,433","13,513,433","16,539,093","17,810,033",,,
