주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,022","2,566","2,813","2,200","2,683"
영업이익,4,386,234,20,174
영업이익(발표기준),4,386,234,20,174
세전계속사업이익,-34,381,267,-30,265
당기순이익,-27,318,211,-35,227
  당기순이익(지배),-27,318,211,-37,226
  당기순이익(비지배),,,0,3,1
자산총계,734,"1,488","2,064","2,076","2,620"
부채총계,237,608,676,761,"1,043"
자본총계,497,880,"1,388","1,316","1,578"
  자본총계(지배),497,880,"1,382","1,307","1,568"
  자본총계(비지배),,,6,9,10
자본금,22,24,58,58,59
영업활동현금흐름,80,308,241,208,481
투자활동현금흐름,-49,-278,-638,-442,-446
재무활동현금흐름,-14,-31,592,150,148
CAPEX,76,314,581,385,294
FCF,4,-5,-340,-177,187
이자발생부채,83,32,345,430,618
영업이익률,0.43,15.04,8.31,0.91,6.47
순이익률,-2.66,12.39,7.51,-1.57,8.47
ROE(%),-5.35,46.18,18.64,-2.77,15.74
ROA(%),-3.60,28.62,11.89,-1.67,9.68
부채비율,47.67,69.13,48.70,57.80,66.08
자본유보율,"2,118.28","3,512.39","2,249.49","2,141.34","2,535.07"
EPS(원),-292,"3,408","2,011",-320,"1,928"
PER(배),,,17.75,N/A,14.70
BPS(원),"5,354","9,164","11,869","11,224","13,303"
PBR(배),0.00,0.00,3.01,2.05,2.13
현금DPS(원),0,0,250,100,100
현금배당수익률,,,0.70,0.43,0.35
현금배당성향(%),0.00,0.00,13.81,-31.21,5.21
발행주식수(보통주),"8,975,000","9,600,000","11,642,000","11,642,000","11,784,281"
