주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,181","1,327","1,485","1,294","1,655"
영업이익,-55,-346,-265,-258,39
영업이익(발표기준),-55,-346,-265,-258,39
세전계속사업이익,-44,-549,-802,-432,-40
당기순이익,-14,-507,-923,-432,-14
  당기순이익(지배),-14,-507,-923,-432,-14
  당기순이익(비지배),,,,,
자산총계,"7,168","6,189","2,783","2,483","2,347"
부채총계,"1,714","1,728","1,773","1,904","1,352"
자본총계,"5,454","4,461","1,010",580,994
  자본총계(지배),"5,454","4,461","1,010",580,994
  자본총계(비지배),,,,,
자본금,38,57,57,57,57
영업활동현금흐름,-83,-136,-202,-73,-162
투자활동현금흐름,-602,-251,-196,190,-23
재무활동현금흐름,-132,155,130,-24,309
CAPEX,300,424,308,27,44
FCF,-383,-560,-510,-100,-206
이자발생부채,490,651,787,770,689
영업이익률,-4.70,-26.05,-17.87,-19.96,2.34
순이익률,-1.19,-38.20,-62.15,-33.38,-0.83
ROE(%),-0.35,-10.22,-33.75,,-1.75
ROA(%),-0.26,-7.59,-20.58,,-0.57
부채비율,31.42,38.72,175.48,328.49,136.05
자본유보율,"6,654.58","3,516.30","1,868.50","1,114.95","1,814.13"
EPS(원),-123,"-4,442","-8,090","-3,785",-120
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"47,825","39,135","8,861","5,084","8,720"
PBR(배),2.21,1.90,2.04,5.71,4.96
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,412,356","11,412,356","11,412,356","11,412,356","11,412,356"
