주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,744,742,588,951,"1,271","1,510","1,841"
영업이익,151,148,52,118,111,205,306
영업이익(발표기준),151,148,52,118,111,,
세전계속사업이익,163,151,23,179,127,211,322
당기순이익,132,141,22,144,118,175,268
  당기순이익(지배),132,141,22,150,120,190,290
  당기순이익(비지배),,,,-6,-2,,
자산총계,"1,022","1,156","1,101","1,564","1,917","1,926","2,104"
부채총계,207,255,198,414,461,536,469
자본총계,815,901,903,"1,150","1,456","1,390","1,635"
  자본총계(지배),815,901,903,"1,130","1,438","1,392","1,660"
  자본총계(비지배),,,,20,18,,
자본금,54,54,54,54,58,54,54
영업활동현금흐름,208,81,39,154,94,182,275
투자활동현금흐름,-120,-127,-49,24,-281,-200,-52
재무활동현금흐름,-60,19,-27,-49,158,-40,-137
CAPEX,15,107,26,74,102,180,25
FCF,194,-26,14,80,-8,-10,225
이자발생부채,143,186,164,266,246,,
영업이익률,20.29,19.91,8.92,12.42,8.77,13.58,16.62
순이익률,17.79,19.01,3.79,15.16,9.27,11.59,14.56
ROE(%),17.34,16.46,2.47,,9.35,13.43,19.00
ROA(%),13.50,12.96,1.98,,6.77,9.11,13.30
부채비율,25.44,28.29,21.99,35.98,31.65,38.56,28.69
자본유보율,"1,500.00","1,704.03","1,707.74","2,013.02","2,396.56",,
EPS(원),"1,230","1,312",207,"1,396","1,084","1,642","2,506"
PER(배),11.79,5.78,45.58,15.19,21.09,13.22,8.66
BPS(원),"7,789","8,864","8,883","10,501","12,426","12,029","14,345"
PBR(배),1.86,0.86,1.06,2.02,1.84,1.80,1.51
현금DPS(원),300,200,0,200,200,200,200
현금배당수익률,2.07,2.64,0.00,0.94,0.88,0.92,0.92
현금배당성향(%),23.72,14.40,0.00,14.33,19.28,12.18,7.98
발행주식수(보통주),"10,761,828","10,761,828","10,761,828","10,761,828","11,571,858",,
