주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,234,224,247,332,393,462,558
영업이익,61,52,67,108,115,134,174
영업이익(발표기준),61,52,67,108,115,,
세전계속사업이익,62,55,70,120,118,139,180
당기순이익,53,48,60,100,100,116,147
  당기순이익(지배),53,48,60,100,100,116,147
  당기순이익(비지배),,,,,,,
자산총계,371,394,430,663,739,825,949
부채총계,44,24,58,68,81,94,112
자본총계,326,369,372,595,658,731,837
  자본총계(지배),326,369,372,595,658,731,837
  자본총계(비지배),,,,,,,
자본금,6,6,8,8,17,17,17
영업활동현금흐름,50,42,79,97,78,110,139
투자활동현금흐름,-41,-49,-33,-195,-62,-64,-92
재무활동현금흐름,-3,-5,-50,119,-36,-42,-42
CAPEX,97,3,28,166,2,15,23
FCF,-47,39,51,-70,76,87,106
이자발생부채,0,0,0,0,1,,
영업이익률,25.92,23.19,26.99,32.58,29.30,29.00,31.18
순이익률,22.53,21.63,24.29,29.97,25.53,25.11,26.34
ROE(%),17.51,13.91,16.20,20.58,16.00,16.71,18.75
ROA(%),15.34,12.66,14.57,18.21,14.31,14.84,16.57
부채비율,13.61,6.62,15.70,11.40,12.32,12.86,13.38
자본유보율,"5,338.01","6,056.65","4,816.19","6,914.05","3,757.30",,
EPS(원),352,323,400,630,597,691,875
PER(배),,,,13.88,15.34,12.73,10.04
BPS(원),"2,175","2,463","2,479","3,545","3,916","4,352","4,983"
PBR(배),0.00,0.00,0.00,2.47,2.34,2.02,1.76
현금DPS(원),20,371,140,250,250,250,250
현금배당수익률,,,,2.86,2.73,2.84,2.84
현금배당성향(%),5.63,115.05,34.98,42.18,41.08,36.20,28.57
발행주식수(보통주),"15,000,000","15,000,000","15,000,000","16,798,204","16,798,204",,
