주요재무정보,"2018/03
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,177,173,203,229,227
영업이익,25,16,-15,7,9
영업이익(발표기준),25,16,-15,7,9
세전계속사업이익,25,-119,-13,3,0
당기순이익,20,-123,-9,5,-2
  당기순이익(지배),20,-123,-9,5,-2
  당기순이익(비지배),,,,,
자산총계,240,327,431,502,531
부채총계,91,89,189,95,128
자본총계,149,238,242,408,403
  자본총계(지배),149,238,242,408,403
  자본총계(비지배),,,,,
자본금,2,20,21,28,28
영업활동현금흐름,16,12,-7,9,23
투자활동현금흐름,-71,15,-128,-29,-81
재무활동현금흐름,1,-4,115,70,22
CAPEX,28,8,160,37,24
FCF,-12,4,-167,-28,-1
이자발생부채,64,63,170,75,97
영업이익률,14.17,9.08,-7.50,3.11,3.82
순이익률,11.34,-71.26,-4.44,2.05,-0.97
ROE(%),,-63.68,-3.76,1.45,-0.54
ROA(%),,-43.50,-2.38,1.01,-0.43
부채비율,60.90,37.35,78.32,23.22,31.69
자본유보율,"6,750.65","1,134.39","1,067.24","1,396.95","1,389.07"
EPS(원),96,-590,-41,21,-8
PER(배),,N/A,N/A,141.00,N/A
BPS(원),712,"1,140","1,076","1,462","1,445"
PBR(배),,2.47,2.46,1.99,1.54
현금DPS(원),5,0,0,,
현금배당수익률,0.27,0.00,0.00,,
현금배당성향(%),5.58,0.00,0.00,0.00,
발행주식수(보통주),"20,904,981","20,904,981","22,481,760","27,887,050","27,887,050"
