주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,264,251,243,259,315
영업이익,21,16,6,8,12
영업이익(발표기준),21,16,6,8,12
세전계속사업이익,49,26,-12,-39,78
당기순이익,42,23,-8,-31,61
  당기순이익(지배),41,22,-8,-31,61
  당기순이익(비지배),1,0,,,
자산총계,682,656,622,598,737
부채총계,362,334,293,307,358
자본총계,320,322,329,290,378
  자본총계(지배),318,322,329,290,378
  자본총계(비지배),2,,,,
자본금,25,25,25,25,25
영업활동현금흐름,10,5,25,6,12
투자활동현금흐름,-66,10,-6,-30,-61
재무활동현금흐름,34,-7,-29,33,40
CAPEX,49,20,1,4,7
FCF,-39,-16,23,2,6
이자발생부채,243,218,131,193,242
영업이익률,8.05,6.30,2.32,3.11,3.68
순이익률,16.03,8.99,-3.15,-12.07,19.27
ROE(%),,6.92,-2.35,-10.11,18.15
ROA(%),,3.38,-1.20,-5.13,9.10
부채비율,113.06,103.80,89.22,105.88,94.68
자본유보율,"1,169.20","1,150.48","1,122.28","1,020.91","1,339.30"
EPS(원),812,438,-151,-618,"1,199"
PER(배),7.66,10.46,N/A,N/A,5.28
BPS(원),"6,285","6,357","6,500","5,737","7,478"
PBR(배),0.99,0.72,0.71,1.04,0.85
현금DPS(원),50,50,,,
현금배당수익률,0.80,1.09,,,
현금배당성향(%),6.16,11.43,0.00,0.00,
발행주식수(보통주),"5,060,000","5,060,000","5,060,000","5,060,000","5,060,000"
