주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,958","2,206","2,565","1,238","1,391"
영업이익,132,117,69,31,51
영업이익(발표기준),132,117,69,31,51
세전계속사업이익,137,109,-8,-145,43
당기순이익,137,109,127,-143,37
  당기순이익(지배),139,118,135,-143,37
  당기순이익(비지배),-1,-8,-7,,
자산총계,"1,537","1,862","1,916","1,739","1,995"
부채총계,894,"1,108","1,055",990,"1,105"
자본총계,643,754,861,749,890
  자본총계(지배),637,757,871,749,890
  자본총계(비지배),6,,,,
자본금,530,530,530,530,610
영업활동현금흐름,11,-50,287,-107,-113
투자활동현금흐름,-27,-169,-193,2,60
재무활동현금흐름,93,179,28,99,155
CAPEX,1,2,1,0,4
FCF,10,-52,286,-107,-117
이자발생부채,341,501,536,413,517
영업이익률,6.72,5.31,2.70,2.53,3.68
순이익률,7.01,4.96,4.96,-11.56,2.65
ROE(%),,16.89,16.55,-17.45,4.50
ROA(%),,6.43,6.74,-7.95,1.98
부채비율,139.04,146.87,122.62,132.24,124.14
자본유보율,19.58,41.84,67.03,43.98,48.26
EPS(원),"1,376","1,170","1,338","-1,422",333
PER(배),4.20,3.51,3.14,N/A,35.27
BPS(원),"6,331","7,521","9,075","7,802","7,949"
PBR(배),0.91,0.55,0.46,0.64,1.48
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"10,068,027","10,068,027","10,068,027","10,068,027","11,668,027"
