주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,327,338,349,290,354
영업이익,-11,-5,-24,-40,-55
영업이익(발표기준),-11,-5,-24,-40,-55
세전계속사업이익,-20,-5,-25,-41,-80
당기순이익,-20,-14,-25,-41,-80
  당기순이익(지배),-20,-12,-25,-41,-75
  당기순이익(비지배),,-2,0,0,-5
자산총계,139,121,122,75,621
부채총계,83,172,98,91,365
자본총계,56,-52,24,-16,256
  자본총계(지배),56,-52,24,-17,238
  자본총계(비지배),,,0,1,18
자본금,7,4,29,29,35
영업활동현금흐름,6,-16,-11,-26,-37
투자활동현금흐름,-18,-7,2,-7,-98
재무활동현금흐름,0,1,16,-5,529
CAPEX,10,11,5,6,21
FCF,-4,-26,-15,-32,-58
이자발생부채,0,95,20,21,256
영업이익률,-3.38,-1.49,-6.96,-13.90,-15.46
순이익률,-6.07,-4.14,-7.18,-14.20,-22.45
ROE(%),-32.48,,183.29,"-1,204.45",-67.70
ROA(%),-14.31,,-20.65,-41.87,-22.86
부채비율,147.17,-333.88,400.08,-566.17,142.42
자본유보율,702.14,"-1,320.33",-25.92,-168.83,582.88
EPS(원),-501,-300,-554,-712,"-1,098"
PER(배),,,,,N/A
BPS(원),"1,414","-1,291",422,-303,"3,450"
PBR(배),0.00,0.00,0.00,0.00,5.36
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,507,036","3,536,436","5,729,282","5,733,282","6,901,482"
