주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,243,161,405,563,"1,197","1,433","1,700"
영업이익,0,-83,47,70,275,314,430
영업이익(발표기준),0,-83,47,70,275,,
세전계속사업이익,-3,-65,45,66,278,308,420
당기순이익,-3,-65,54,92,226,252,340
  당기순이익(지배),-2,-64,54,92,226,251,340
  당기순이익(비지배),-1,-1,0,,,,
자산총계,319,303,421,526,"1,074","1,840","2,410"
부채총계,136,138,203,220,566,"1,100","1,360"
자본총계,184,165,218,307,508,740,"1,050"
  자본총계(지배),183,164,217,307,508,740,"1,050"
  자본총계(비지배),1,,1,,,,
자본금,55,63,63,63,63,60,60
영업활동현금흐름,11,-57,17,-11,-8,190,280
투자활동현금흐름,4,-26,-13,5,-25,-30,-30
재무활동현금흐름,22,70,15,14,109,230,170
CAPEX,13,4,2,2,19,20,20
FCF,-2,-62,15,-13,-27,170,260
이자발생부채,54,68,86,97,223,,
영업이익률,0.12,-51.64,11.61,12.47,23.01,21.95,25.29
순이익률,-1.10,-40.42,13.38,16.40,18.92,17.59,20.00
ROE(%),,-36.80,28.49,35.22,55.58,40.22,37.99
ROA(%),,-20.93,14.97,19.47,28.31,17.30,16.00
부채비율,73.79,83.62,93.40,71.57,111.30,148.65,129.52
자본유보율,262.56,188.43,270.13,409.19,748.90,,
EPS(원),-20,-545,434,733,"1,787","1,976","2,676"
PER(배),N/A,N/A,11.30,21.41,18.16,12.63,9.32
BPS(원),"1,718","1,354","1,790","2,510","4,156","6,049","8,583"
PBR(배),3.34,3.19,2.74,6.26,7.81,4.12,2.91
현금DPS(원),0,0,0,100,200,250,300
현금배당수익률,0.00,0.00,0.00,0.64,0.62,1.00,1.20
현금배당성향(%),0.00,0.00,0.00,13.25,10.80,12.65,11.21
발행주식수(보통주),"11,043,483","11,043,483","12,524,962","12,612,462","12,697,962",,
