주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,004","2,119","2,311","2,471","2,547"
영업이익,28,15,40,66,55
영업이익(발표기준),28,15,40,66,55
세전계속사업이익,38,13,45,59,60
당기순이익,31,11,35,48,45
  당기순이익(지배),31,11,35,48,45
  당기순이익(비지배),,,,,
자산총계,"1,080","1,041","1,342","1,467","1,539"
부채총계,277,274,536,609,561
자본총계,803,767,806,857,978
  자본총계(지배),803,767,806,857,978
  자본총계(비지배),,,,,
자본금,36,36,36,36,36
영업활동현금흐름,86,88,109,159,34
투자활동현금흐름,-63,-64,-79,-267,-104
재무활동현금흐름,-5,-6,183,6,-45
CAPEX,65,66,79,102,80
FCF,21,22,30,56,-46
이자발생부채,0,0,192,208,175
영업이익률,1.41,0.72,1.73,2.67,2.14
순이익률,1.54,0.50,1.49,1.95,1.79
ROE(%),3.81,1.35,4.39,5.80,4.95
ROA(%),2.75,1.00,2.90,3.43,3.02
부채비율,34.46,35.66,66.43,71.07,57.35
자본유보율,"2,107.81","2,083.32","2,151.63","2,287.18","2,405.34"
EPS(원),85,29,95,133,125
PER(배),14.80,39.89,13.48,13.20,16.36
BPS(원),"2,291","2,188","2,300","2,446","2,789"
PBR(배),0.55,0.53,0.56,0.72,0.73
현금DPS(원),20,20,30,30,30
현금배당수익률,1.59,1.72,2.34,1.71,1.47
현금배당성향(%),22.64,66.00,30.45,21.82,23.13
발행주식수(보통주),"36,373,887","36,373,887","36,373,887","36,373,887","36,373,887"
