주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,241,193,188,6,86
영업이익,4,-58,2,-7,7
영업이익(발표기준),4,-58,2,-7,7
세전계속사업이익,23,-330,-1,-4,20
당기순이익,-50,-337,-1,-85,15
  당기순이익(지배),-49,-337,-1,-85,15
  당기순이익(비지배),-2,,0,0,
자산총계,507,667,505,470,712
부채총계,167,242,72,30,258
자본총계,340,426,433,440,455
  자본총계(지배),331,426,433,440,455
  자본총계(비지배),9,,0,,
자본금,91,136,136,173,173
영업활동현금흐름,-79,-52,11,-16,-28
투자활동현금흐름,-45,-338,44,-61,238
재무활동현금흐름,106,538,-174,45,77
CAPEX,109,29,1,5,3
FCF,-188,-81,10,-21,-31
이자발생부채,108,217,45,1,183
영업이익률,1.59,-29.95,0.90,-111.93,7.98
순이익률,-20.91,-174.68,-0.47,"-1,446.11",17.12
ROE(%),-13.73,-89.11,-0.17,-19.46,3.29
ROA(%),-10.38,-57.40,-0.15,-17.43,2.49
부채비율,48.96,56.85,16.52,6.89,56.70
자본유보율,266.49,213.87,213.33,149.69,158.20
EPS(원),-266,"-1,474",-3,-289,43
PER(배),N/A,N/A,N/A,N/A,105.33
BPS(원),"1,814","1,562","1,590","1,272","1,314"
PBR(배),2.66,2.77,2.82,3.52,3.41
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"18,282,396","27,268,234","27,268,234","34,611,984","34,611,984"
