주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,001","1,248",546,443,716,"1,088","1,668","2,136"
영업이익,52,-25,-153,-144,41,142,270,345
영업이익(발표기준),52,-25,-153,-144,41,,,
세전계속사업이익,10,-125,-209,-233,33,143,272,371
당기순이익,-9,-216,-423,-258,36,138,248,331
  당기순이익(지배),-14,-215,-414,-253,37,138,248,331
  당기순이익(비지배),4,-2,-10,-5,-1,,,
자산총계,"1,816","1,791","1,172","1,042",988,"1,284","1,530","1,920"
부채총계,930,"1,106",897,539,366,510,508,567
자본총계,887,686,275,503,622,774,"1,022","1,353"
  자본총계(지배),871,671,269,503,622,774,"1,022","1,353"
  자본총계(비지배),16,,6,0,0,,,
자본금,243,252,261,360,396,396,396,396
영업활동현금흐름,-31,-98,80,-32,104,370,365,439
투자활동현금흐름,-112,44,-14,210,-65,-103,-68,-74
재무활동현금흐름,136,46,-74,101,-127,-20,-60,0
CAPEX,35,27,68,37,9,24,41,43
FCF,-66,-125,12,-68,95,331,308,357
이자발생부채,671,687,634,335,183,,,
영업이익률,5.22,-2.00,-28.11,-32.63,5.72,13.10,16.19,16.15
순이익률,-0.92,-17.34,-77.55,-58.27,5.09,12.64,14.87,15.50
ROE(%),-1.88,-27.86,-87.98,-65.46,6.63,19.70,27.62,27.87
ROA(%),-0.55,-12.00,-28.57,-23.31,3.59,12.10,17.63,19.19
부채비율,104.84,161.25,326.40,106.96,58.86,65.89,49.71,41.91
자본유보율,259.78,172.07,2.91,22.21,40.23,,,
EPS(원),-32,-427,-800,-471,49,174,313,418
PER(배),N/A,N/A,N/A,N/A,47.87,13.14,7.29,5.46
BPS(원),"1,738","1,348",515,698,785,977,"1,290","1,707"
PBR(배),1.69,1.34,2.88,4.30,3.01,2.33,1.77,1.34
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"50,093,953","50,392,650","52,276,120","72,049,635","79,243,240",,,
