주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,221,252,575,494,322,422,586
영업이익,-98,-160,84,-298,-277,-323,-350
영업이익(발표기준),-98,-160,84,-298,-277,,
세전계속사업이익,-135,-264,131,-88,-205,-194,-122
당기순이익,-129,-261,125,-70,-234,-194,-116
  당기순이익(지배),-129,-258,136,-70,-234,-194,-116
  당기순이익(비지배),,-3,-11,,,,
자산총계,822,"1,217","1,415","1,359","2,932","2,748","2,593"
부채총계,328,164,256,238,345,333,294
자본총계,495,"1,053","1,159","1,121","2,588","2,415","2,299"
  자본총계(지배),482,"1,017","1,137","1,121","2,588","2,415","2,299"
  자본총계(비지배),13,,,,,,
자본금,50,60,60,121,136,136,136
영업활동현금흐름,-82,-128,241,-149,-420,-85,-53
투자활동현금흐름,119,-506,300,3,-439,-60,-50
재무활동현금흐름,20,649,26,26,"1,713",0,-59
CAPEX,22,38,34,27,183,24,12
FCF,-104,-165,207,-176,-604,-342,-285
이자발생부채,152,0,22,40,123,,
영업이익률,-44.62,-63.30,14.64,-60.25,-86.16,-76.54,-59.73
순이익률,-58.64,-103.30,21.70,-14.14,-72.74,-45.97,-19.79
ROE(%),-23.89,-34.39,12.61,-6.02,-12.61,-7.76,-4.92
ROA(%),-15.06,-25.57,9.48,-4.99,-10.90,-6.83,-4.34
부채비율,66.26,15.57,22.06,21.21,13.32,13.79,12.79
자본유보율,859.50,"1,569.96","1,771.63",786.12,"1,763.10",,
EPS(원),-650,"-1,206",566,-290,-929,-711,-425
PER(배),N/A,N/A,46.70,N/A,N/A,N/A,N/A
BPS(원),"2,421","4,237","4,736","4,651","9,497","8,841","8,416"
PBR(배),8.32,6.70,5.58,15.07,5.88,4.09,4.30
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,,0.00,,,
발행주식수(보통주),"19,909,174","21,179,764","21,443,878","23,683,806","24,234,918",,
