주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,489","1,382","1,549","1,466","1,551","1,700","1,954"
영업이익,112,91,44,40,22,85,132
영업이익(발표기준),112,91,44,40,22,,
세전계속사업이익,105,80,15,51,-61,90,139
당기순이익,92,50,60,25,-79,72,111
  당기순이익(지배),87,60,81,42,-50,71,110
  당기순이익(비지배),4,-11,-21,-17,-29,,
자산총계,"1,432","1,645","1,545","1,767","2,048","1,943","2,078"
부채총계,382,443,383,565,977,807,832
자본총계,"1,050","1,201","1,161","1,203","1,072","1,136","1,246"
  자본총계(지배),995,"1,079","1,123","1,159","1,121","1,151","1,261"
  자본총계(비지배),55,,39,43,-49,,
자본금,48,48,48,48,49,49,49
영업활동현금흐름,36,205,49,68,28,126,132
투자활동현금흐름,-59,-210,69,-90,-125,-90,-95
재무활동현금흐름,-24,-14,-39,175,179,0,0
CAPEX,12,37,22,25,13,29,33
FCF,24,168,27,43,16,59,60
이자발생부채,85,106,32,125,517,,
영업이익률,7.54,6.58,2.85,2.75,1.40,5.00,6.75
순이익률,6.14,3.60,3.90,1.70,-5.10,4.23,5.68
ROE(%),8.97,5.82,7.38,3.69,-4.36,6.25,9.12
ROA(%),6.31,3.24,3.79,1.50,-4.15,3.61,5.52
부채비율,36.39,36.92,33.01,46.98,91.14,71.04,66.77
자본유보율,"2,173.60","2,346.48","2,439.22","2,549.97","2,456.34",,
EPS(원),989,683,920,477,-562,799,"1,237"
PER(배),20.38,21.36,12.17,30.39,N/A,28.47,18.39
BPS(원),"12,099","13,107","13,640","14,088","13,588","13,878","15,204"
PBR(배),1.67,1.11,0.82,1.03,1.91,1.64,1.50
현금DPS(원),200,250,0,0,,0,0
현금배당수익률,0.99,1.71,0.00,0.00,,0.00,0.00
현금배당성향(%),18.86,34.10,0.00,0.00,,,
발행주식수(보통주),"8,825,608","8,828,608","8,828,608","8,828,608","8,848,608",,
