주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,92,134,138,119,150
영업이익,4,-2,-7,-2,-1
영업이익(발표기준),4,-2,-7,-2,-1
세전계속사업이익,-32,-5,-6,-4,2
당기순이익,-32,-5,-6,-4,2
  당기순이익(지배),-32,-5,-6,-4,2
  당기순이익(비지배),,,,,
자산총계,165,152,305,318,321
부채총계,77,65,124,144,144
자본총계,89,87,180,174,177
  자본총계(지배),89,87,180,174,177
  자본총계(비지배),,,,,
자본금,18,18,23,23,23
영업활동현금흐름,8,8,-10,4,12
투자활동현금흐름,-29,-3,-108,-32,18
재무활동현금흐름,28,1,133,20,-2
CAPEX,36,3,47,46,4
FCF,-28,6,-57,-43,8
이자발생부채,35,36,82,103,98
영업이익률,4.38,-1.62,-5.35,-1.79,-0.46
순이익률,-34.52,-3.98,-3.98,-3.01,1.07
ROE(%),-31.35,,-4.11,-2.02,0.91
ROA(%),-20.97,,-2.41,-1.15,0.50
부채비율,86.95,73.91,68.77,82.81,81.25
자본유보율,389.37,374.73,677.19,647.91,656.91
EPS(원),-881,-146,-142,-77,34
PER(배),N/A,N/A,N/A,N/A,468.65
BPS(원),"2,453","2,374","3,891","3,745","3,785"
PBR(배),3.83,4.36,1.91,2.58,4.24
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"2,900,000","3,680,381","4,638,281","4,638,281","4,684,781"
