주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,435,419,385,371,420,830,"1,745"
영업이익,16,-2,4,6,31,185,577
영업이익(발표기준),16,-2,4,6,31,,
세전계속사업이익,31,-10,-19,-5,20,155,568
당기순이익,29,-7,-16,6,28,133,450
  당기순이익(지배),29,-7,-16,6,28,133,450
  당기순이익(비지배),,,,,,,
자산총계,332,360,468,530,663,788,"1,338"
부채총계,204,242,366,302,377,390,509
자본총계,128,119,103,228,287,398,830
  자본총계(지배),128,119,103,228,287,398,830
  자본총계(비지배),,,,,,,
자본금,12,12,12,14,90,60,60
영업활동현금흐름,15,-2,25,35,51,180,460
투자활동현금흐름,-10,-80,-99,-76,-123,-177,-264
재무활동현금흐름,7,65,101,39,85,18,16
CAPEX,8,66,85,66,113,217,115
FCF,6,-68,-60,-31,-62,13,196
이자발생부채,118,159,266,245,168,,
영업이익률,3.75,-0.41,1.17,1.63,7.30,22.26,33.09
순이익률,6.74,-1.57,-4.14,1.60,6.78,16.03,25.77
ROE(%),,-5.34,-14.42,3.58,11.05,38.85,73.27
ROA(%),,-1.90,-3.85,1.19,4.76,18.33,42.30
부채비율,160.05,203.73,355.97,132.87,131.43,97.86,61.36
자본유보율,921.77,848.38,722.46,"1,565.05",217.28,,
EPS(원),180,-40,-97,36,159,645,"2,137"
PER(배),,,,,,28.21,8.52
BPS(원),786,719,623,"1,281","1,589","1,892","3,942"
PBR(배),0.00,0.00,0.00,0.00,0.00,9.62,4.62
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,,,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"16,250,000","16,250,000","16,250,000","17,779,320","18,040,488",,
