주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,928,897,848,687,651
영업이익,-60,59,70,15,57
영업이익(발표기준),-60,59,70,15,57
세전계속사업이익,-52,59,54,-41,68
당기순이익,-54,52,41,-45,-12
  당기순이익(지배),-47,54,45,-37,-12
  당기순이익(비지배),-6,-2,-4,-8,
자산총계,910,904,996,880,918
부채총계,264,245,295,254,203
자본총계,646,659,701,625,715
  자본총계(지배),630,631,676,608,715
  자본총계(비지배),17,,25,17,
자본금,74,74,74,74,74
영업활동현금흐름,-107,40,108,21,17
투자활동현금흐름,85,48,-41,80,-251
재무활동현금흐름,,-45,-6,-35,112
CAPEX,1,1,0,1,2
FCF,-108,39,108,20,15
이자발생부채,0,0,31,28,12
영업이익률,-6.43,6.63,8.28,2.13,8.74
순이익률,-5.77,5.82,4.86,-6.51,-1.79
ROE(%),-7.28,8.57,6.90,-5.78,-1.76
ROA(%),-5.74,5.75,4.34,-4.77,-1.34
부채비율,40.80,37.19,42.11,40.70,28.37
자본유보율,884.74,954.68,"1,016.00",964.20,993.01
EPS(원),-320,364,304,-250,-78
PER(배),N/A,15.24,18.57,N/A,N/A
BPS(원),"4,590","4,772","5,116","4,857","5,288"
PBR(배),1.70,1.16,1.10,1.11,3.61
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"14,827,550","14,827,550","14,827,550","14,827,550","14,827,550"
