주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"2,505","2,535","2,029","1,620","1,737","1,991"
영업이익,275,250,198,138,56,163
영업이익(발표기준),275,250,198,138,56,
세전계속사업이익,216,289,202,141,18,167
당기순이익,150,196,153,106,-4,125
  당기순이익(지배),116,170,118,95,43,113
  당기순이익(비지배),35,26,34,11,-46,
자산총계,"2,469","2,713","2,676","2,620","2,620",
부채총계,530,755,586,509,523,
자본총계,"1,939","1,957","2,090","2,111","2,097",
  자본총계(지배),"1,485","1,554","1,648","1,699","1,729",
  자본총계(비지배),454,,442,412,367,
자본금,56,56,56,56,56,
영업활동현금흐름,91,-162,455,-30,-121,
투자활동현금흐름,-98,-113,-199,-298,199,
재무활동현금흐름,415,-33,-88,-98,-17,
CAPEX,69,10,35,55,30,
FCF,22,-172,420,-84,-150,
이자발생부채,23,71,20,12,16,
영업이익률,10.98,9.85,9.77,8.49,3.23,8.19
순이익률,6.01,7.72,7.53,6.53,-0.22,6.28
ROE(%),8.88,11.19,7.40,5.66,2.48,
ROA(%),6.71,7.55,5.67,3.99,-0.15,
부채비율,27.35,38.60,28.02,24.13,24.95,
자본유보율,"2,598.71","2,692.57","2,845.48","2,993.30","3,046.73",
EPS(원),"1,036","1,542","1,086",888,399,"1,060"
PER(배),12.54,5.44,7.47,9.18,25.95,8.10
BPS(원),"13,540","14,524","15,454","17,239","17,545",
PBR(배),0.96,0.58,0.53,0.47,0.59,
현금DPS(원),200,150,150,150,150,
현금배당수익률,1.54,1.79,1.85,1.84,1.45,
현금배당성향(%),18.99,9.44,13.50,15.61,34.76,
발행주식수(보통주),"11,150,296","10,913,432","10,662,938","10,662,938","10,662,938",
