주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,"1,019","1,035","1,123","1,251","1,372","1,500","1,610"
영업이익,52,13,25,79,100,120,150
영업이익(발표기준),52,13,25,79,100,,
세전계속사업이익,57,21,34,78,103,,
당기순이익,45,15,24,60,81,110,140
  당기순이익(지배),45,15,24,60,81,110,140
  당기순이익(비지배),,,,,,,
자산총계,961,945,975,"1,041","1,178",,
부채총계,143,138,146,165,232,,
자본총계,818,807,828,876,946,,
  자본총계(지배),818,807,828,876,946,,
  자본총계(비지배),,,,,,,
자본금,64,64,64,64,64,,
영업활동현금흐름,26,27,80,71,53,,
투자활동현금흐름,44,-39,-47,-16,-154,,
재무활동현금흐름,-6,-29,-7,-11,18,,
CAPEX,25,20,12,19,12,,
FCF,1,7,68,53,41,,
이자발생부채,0,0,4,3,35,,
영업이익률,5.15,1.21,2.22,6.35,7.29,8.00,9.32
순이익률,4.44,1.46,2.11,4.79,5.89,7.33,8.70
ROE(%),5.68,1.86,2.90,7.03,8.87,,
ROA(%),4.79,1.59,2.47,5.95,7.29,,
부채비율,17.51,17.08,17.65,18.79,24.49,,
자본유보율,"1,182.21","1,199.54","1,229.68","1,314.93","1,425.31",,
EPS(원),354,118,185,468,631,859,"1,094"
PER(배),13.41,31.79,40.45,17.77,15.06,10.41,8.18
BPS(원),"6,477","6,606","6,778","7,219","7,800",,
PBR(배),0.73,0.57,1.11,1.15,1.22,,
현금DPS(원),50,30,30,80,100,,
현금배당수익률,1.05,0.80,0.40,0.96,1.05,,
현금배당성향(%),13.95,24.24,15.45,16.21,15.01,,
발행주식수(보통주),"12,800,000","12,800,000","12,800,000","12,800,000","12,800,000",,
