주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"3,548","4,008","4,823","5,591","5,942","6,550","7,292","8,121"
영업이익,501,551,686,847,632,784,904,"1,024"
영업이익(발표기준),501,551,686,847,632,,,
세전계속사업이익,528,631,756,800,698,826,946,"1,070"
당기순이익,409,494,590,579,529,630,724,822
  당기순이익(지배),396,469,563,559,503,608,698,792
  당기순이익(비지배),13,25,27,20,26,,,
자산총계,"3,733","4,802","5,444","6,632","7,501","7,909","8,686","9,474"
부채총계,938,"1,486","1,590","2,274","2,684","2,674","2,748","2,834"
자본총계,"2,795","3,316","3,854","4,358","4,816","5,324","5,938","6,640"
  자본총계(지배),"2,639","3,130","3,629","4,114","4,546","5,054","5,667","6,369"
  자본총계(비지배),156,,225,244,271,,,
자본금,222,226,226,226,226,226,226,226
영업활동현금흐름,287,332,695,591,447,693,864,"1,028"
투자활동현금흐름,-174,-907,-558,-969,-435,-352,-340,-363
재무활동현금흐름,-33,561,-49,230,297,-138,-112,-115
CAPEX,117,755,251,396,510,226,241,258
FCF,170,-422,444,195,-64,,,
이자발생부채,99,553,603,885,"1,203",,,
영업이익률,14.11,13.75,14.22,15.15,10.64,11.96,12.39,12.60
순이익률,11.52,12.33,12.24,10.35,8.91,9.62,9.93,10.12
ROE(%),15.80,16.27,16.66,14.45,11.63,12.67,13.02,13.15
ROA(%),11.70,11.58,11.53,9.59,7.49,8.18,8.73,9.05
부채비율,33.56,44.82,41.24,52.17,55.73,50.22,46.29,42.68
자본유보율,"1,098.13","1,294.16","1,514.59","1,729.02","1,920.03",,,
EPS(원),891,"1,048","1,245","1,236","1,113","1,344","1,543","1,750"
PER(배),14.24,11.05,14.31,23.66,19.59,15.47,13.48,11.89
BPS(원),"6,006","7,000","8,115","9,199","10,165","11,299","12,671","14,240"
PBR(배),2.11,1.65,2.20,3.18,2.14,1.84,1.64,1.46
현금DPS(원),104,104,160,180,180,190,200,210
현금배당수익률,0.82,0.90,0.90,0.62,0.83,0.91,0.96,1.01
현금배당성향(%),11.54,9.91,12.71,14.39,15.99,13.89,12.74,11.80
발행주식수(보통주),"44,460,000","44,460,000","44,460,000","44,460,000","44,460,000",,,
