주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,972","1,950","1,713","1,752","2,362"
영업이익,36,15,22,32,91
영업이익(발표기준),36,15,22,32,91
세전계속사업이익,40,68,59,38,129
당기순이익,30,53,44,28,102
  당기순이익(지배),30,53,44,28,102
  당기순이익(비지배),-1,0,0,0,0
자산총계,"1,300","1,334","1,366","1,387","1,509"
부채총계,225,244,265,279,313
자본총계,"1,075","1,090","1,101","1,108","1,196"
  자본총계(지배),"1,079","1,095","1,105","1,112","1,200"
  자본총계(비지배),-4,,-4,-4,-4
자본금,99,99,99,99,99
영업활동현금흐름,-73,152,50,31,136
투자활동현금흐름,36,-159,28,23,72
재무활동현금흐름,-34,-37,-22,-25,-17
CAPEX,6,22,4,14,4
FCF,-79,130,45,17,133
이자발생부채,16,15,15,16,16
영업이익률,1.84,0.77,1.26,1.80,3.84
순이익률,1.51,2.70,2.56,1.63,4.32
ROE(%),2.79,4.86,4.00,2.53,8.84
ROA(%),2.25,3.99,3.25,2.07,7.04
부채비율,20.95,22.33,24.10,25.18,26.18
자본유보율,"1,027.52","1,059.94","1,076.59","1,094.01","1,187.50"
EPS(원),162,282,235,150,546
PER(배),22.72,13.52,15.12,23.30,9.34
BPS(원),"6,270","6,550","6,669","6,864","7,407"
PBR(배),0.59,0.58,0.53,0.51,0.69
현금DPS(원),100,100,100,100,120
현금배당수익률,2.72,2.62,2.81,2.86,2.35
현금배당성향(%),56.80,31.67,37.64,57.69,19.02
발행주식수(보통주),"18,720,000","18,720,000","18,720,000","18,720,000","18,720,000"
