주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,665,738,796,802,889
영업이익,90,92,104,101,79
영업이익(발표기준),90,92,104,101,79
세전계속사업이익,89,124,73,109,103
당기순이익,73,100,61,89,84
  당기순이익(지배),73,100,61,89,84
  당기순이익(비지배),,,,,
자산총계,"1,123","1,287","1,513","1,610","1,630"
부채총계,140,142,301,330,279
자본총계,982,"1,145","1,213","1,280","1,351"
  자본총계(지배),982,"1,145","1,213","1,280","1,351"
  자본총계(비지배),,,,,
자본금,31,36,36,36,36
영업활동현금흐름,89,89,108,90,95
투자활동현금흐름,-89,-114,-105,37,43
재무활동현금흐름,0,75,89,41,-103
CAPEX,26,33,181,64,75
FCF,63,56,-73,26,20
이자발생부채,2,5,126,187,100
영업이익률,13.56,12.52,13.02,12.63,8.88
순이익률,11.02,13.59,7.62,11.12,9.50
ROE(%),7.95,9.44,5.15,7.15,6.42
ROA(%),6.53,8.33,4.33,5.71,5.21
부채비율,14.30,12.38,24.80,25.81,20.66
자본유보율,"2,565.55","2,718.86","3,341.26","3,527.90","3,681.64"
EPS(원),"1,209","1,492",855,"1,254","1,175"
PER(배),10.17,8.61,17.49,30.22,18.47
BPS(원),"15,837","16,125","17,078","17,978","18,829"
PBR(배),0.78,0.80,0.88,2.11,1.15
현금DPS(원),270,300,300,300,300
현금배당수익률,2.20,2.33,2.01,0.79,1.38
현금배당성향(%),22.85,21.22,35.10,23.96,25.48
발행주식수(보통주),"6,202,147","7,100,391","7,100,391","7,135,391","7,190,391"
