주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,178,168,294,394,438
영업이익,-38,-26,18,21,20
영업이익(발표기준),-38,-26,18,21,20
세전계속사업이익,-14,-104,16,13,23
당기순이익,-37,-104,16,12,23
  당기순이익(지배),-37,-104,16,12,23
  당기순이익(비지배),,,,,
자산총계,463,406,442,468,495
부채총계,380,195,215,229,233
자본총계,82,211,228,240,262
  자본총계(지배),82,211,228,240,262
  자본총계(비지배),,,,,
자본금,38,181,181,181,181
영업활동현금흐름,16,7,-20,57,12
투자활동현금흐름,46,-6,10,-11,-8
재무활동현금흐름,-44,-5,25,-1,-1
CAPEX,3,5,6,9,6
FCF,13,2,-26,48,6
이자발생부채,0,145,170,171,171
영업이익률,-21.19,-15.73,6.25,5.38,4.61
순이익률,-21.06,-61.93,5.59,3.16,5.15
ROE(%),-41.73,-70.71,7.47,5.33,9.00
ROA(%),-7.22,-23.92,3.87,2.73,4.69
부채비율,461.11,92.00,94.29,95.44,88.78
자본유보율,99.08,4.93,13.91,20.53,32.84
EPS(원),"-2,386","-1,929",45,34,62
PER(배),N/A,N/A,38.70,44.48,30.29
BPS(원),"5,474",586,631,665,726
PBR(배),0.26,2.44,2.78,2.30,2.60
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"1,597,467","36,192,257","36,192,257","36,192,257","36,192,257"
