주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,782,650,714,590,666
영업이익,115,100,102,55,67
영업이익(발표기준),115,100,102,55,67
세전계속사업이익,118,98,148,62,73
당기순이익,95,75,115,25,46
  당기순이익(지배),95,75,115,25,46
  당기순이익(비지배),,,,,
자산총계,774,831,943,969,"1,045"
부채총계,135,114,113,112,144
자본총계,639,716,830,857,901
  자본총계(지배),639,716,830,857,901
  자본총계(비지배),0,,0,0,
자본금,259,259,259,259,259
영업활동현금흐름,105,137,153,109,45
투자활동현금흐름,33,-136,-129,-112,-56
재무활동현금흐름,-131,-6,-3,0,1
CAPEX,28,18,8,3,5
FCF,77,119,145,105,40
이자발생부채,13,7,6,12,14
영업이익률,14.67,15.46,14.31,9.30,10.05
순이익률,12.18,11.56,16.14,4.25,6.87
ROE(%),16.04,11.08,14.90,2.98,5.20
ROA(%),11.96,9.36,12.99,2.63,4.54
부채비율,21.12,15.94,13.61,13.02,15.93
자본유보율,149.09,178.90,222.81,233.25,250.32
EPS(원),184,145,222,48,88
PER(배),14.65,14.65,9.46,37.85,22.58
BPS(원),"1,234","1,383","1,603","1,655","1,740"
PBR(배),2.18,1.54,1.31,1.11,1.15
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"51,794,579","51,794,579","51,794,579","51,794,579","51,794,579"
