주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,708,761,657,536,607
영업이익,6,14,6,1,0
영업이익(발표기준),6,14,6,1,0
세전계속사업이익,20,11,8,247,3
당기순이익,16,9,6,192,3
  당기순이익(지배),16,9,6,192,3
  당기순이익(비지배),,,,,
자산총계,605,587,616,713,645
부채총계,153,135,165,97,48
자본총계,452,453,451,616,597
  자본총계(지배),452,453,451,616,597
  자본총계(비지배),,,,,
자본금,31,31,31,31,31
영업활동현금흐름,18,21,10,25,-44
투자활동현금흐름,39,-1,1,179,11
재무활동현금흐름,-57,-20,-10,-144,-28
CAPEX,12,2,12,2,9
FCF,6,19,-3,23,-52
이자발생부채,115,103,136,17,17
영업이익률,0.91,1.87,0.97,0.24,0.06
순이익률,2.25,1.17,0.94,35.85,0.41
ROE(%),3.57,1.97,,35.98,0.42
ROA(%),2.55,1.49,,28.89,0.37
부채비율,33.85,29.78,36.46,15.78,8.06
자본유보율,"1,586.74","1,587.93","1,583.15","2,174.73","2,113.47"
EPS(원),256,143,99,"3,083",40
PER(배),22.85,46.88,81.87,3.00,434.61
BPS(원),"9,732","9,747","9,717","13,895","13,455"
PBR(배),0.60,0.69,0.83,0.67,1.30
현금DPS(원),176,160,160,480,320
현금배당수익률,3.00,2.39,1.98,5.18,1.82
현금배당성향(%),51.17,83.48,120.75,11.08,564.24
발행주식수(보통주),"6,227,130","6,227,130","6,227,130","6,227,130","6,227,130"
