주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,91,141,161,154,200,239,270
영업이익,-15,20,36,24,52,70,84
영업이익(발표기준),-15,20,36,24,52,,
세전계속사업이익,-22,24,42,21,59,70,85
당기순이익,-23,26,45,19,63,74,90
  당기순이익(지배),-23,26,45,19,63,74,90
  당기순이익(비지배),,,,,,,
자산총계,290,319,359,398,459,,
부채총계,25,33,38,72,80,,
자본총계,265,285,321,326,380,,
  자본총계(지배),265,285,321,326,380,,
  자본총계(비지배),,,,,,,
자본금,38,39,39,50,50,,
영업활동현금흐름,-19,29,29,47,99,,
투자활동현금흐름,42,-61,-27,40,-134,,
재무활동현금흐름,-3,0,-6,-16,-15,,
CAPEX,0,4,5,9,1,,
FCF,-19,25,24,39,98,,
이자발생부채,0,0,1,43,33,,
영업이익률,-16.71,14.30,22.26,15.46,26.02,29.29,31.11
순이익률,-25.66,18.68,28.00,12.52,31.37,30.96,33.33
ROE(%),-8.34,9.60,14.91,5.96,17.76,,
ROA(%),-7.66,8.68,13.35,5.10,14.63,,
부채비율,9.37,11.61,11.74,21.94,20.98,,
자본유보율,636.79,701.06,793.25,602.37,708.03,,
EPS(원),-242,274,469,200,650,768,934
PER(배),N/A,17.94,15.62,60.99,36.45,25.01,20.57
BPS(원),"2,753","2,961","3,329","3,384","3,940",,
PBR(배),2.29,1.66,2.20,3.61,6.02,,
현금DPS(원),0,55,117,50,163,,
현금배당수익률,0.00,1.13,1.60,0.41,0.69,,
현금배당성향(%),0.00,20.21,24.93,24.99,25.06,,
발행주식수(보통주),"9,635,115","9,640,315","9,640,315","9,640,315","9,640,315",,
