주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,889,"1,001","1,064","1,155","1,286"
영업이익,80,126,54,-16,-69
영업이익(발표기준),80,126,54,-16,-69
세전계속사업이익,82,127,50,-14,-85
당기순이익,70,106,50,8,-73
  당기순이익(지배),70,106,50,8,-73
  당기순이익(비지배),,,,,
자산총계,512,690,957,998,897
부채총계,175,200,211,265,232
자본총계,337,489,745,733,666
  자본총계(지배),337,489,745,733,666
  자본총계(비지배),,,,,
자본금,54,56,64,64,64
영업활동현금흐름,85,76,85,-20,6
투자활동현금흐름,-89,-114,-300,73,52
재무활동현금흐름,,10,165,-48,-35
CAPEX,7,2,41,7,38
FCF,77,74,45,-28,-32
이자발생부채,30,33,35,26,18
영업이익률,9.05,12.54,5.05,-1.35,-5.37
순이익률,7.89,10.55,4.68,0.65,-5.68
ROE(%),23.23,25.56,8.07,1.01,-10.44
ROA(%),15.29,17.58,6.05,0.77,-7.70
부채비율,51.80,40.94,28.37,36.15,34.84
자본유보율,519.02,776.56,"1,083.06","1,069.38",968.87
EPS(원),644,950,415,58,-568
PER(배),,,19.32,143.54,N/A
BPS(원),"3,095","4,349","5,885","5,849","5,316"
PBR(배),0.00,0.00,1.36,1.43,1.34
현금DPS(원),0,0,100,50,
현금배당수익률,,,1.25,0.60,
현금배당성향(%),0.00,0.00,25.45,83.54,
발행주식수(보통주),"10,319,386","11,187,371","12,864,037","12,864,037","12,864,037"
