주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,423,132,402,247,304,726
영업이익,-7,-7,11,25,15,104
영업이익(발표기준),-7,-7,11,25,15,
세전계속사업이익,-15,-10,12,18,35,105
당기순이익,-17,-10,11,18,40,88
  당기순이익(지배),-17,-10,11,18,40,88
  당기순이익(비지배),,,,,,
자산총계,802,662,775,"1,031","1,114",
부채총계,329,197,297,351,387,
자본총계,473,465,478,680,727,
  자본총계(지배),473,465,478,680,727,
  자본총계(비지배),0,,,,,
자본금,69,69,69,136,136,
영업활동현금흐름,12,-28,-130,95,-12,
투자활동현금흐름,3,16,28,4,-6,
재무활동현금흐름,120,-120,97,-11,73,
CAPEX,0,0,1,2,3,
FCF,11,-28,-130,93,-15,
이자발생부채,258,138,238,237,222,
영업이익률,-1.76,-5.25,2.67,9.93,4.91,14.31
순이익률,-3.99,-7.85,2.82,7.27,13.16,12.11
ROE(%),-3.86,-2.21,2.40,3.11,5.69,
ROA(%),-2.25,-1.42,1.58,1.99,3.73,
부채비율,69.43,42.43,62.15,51.68,53.27,
자본유보율,472.05,456.95,473.44,205.01,234.37,
EPS(원),-83,-38,42,66,147,319
PER(배),N/A,N/A,63.23,99.86,35.55,12.70
BPS(원),"1,738","1,705","1,754","2,517","2,690",
PBR(배),1.21,1.10,1.50,2.62,1.94,
현금DPS(원),0,0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"27,247,982","27,247,982","27,247,982","27,247,982","27,247,982",
