주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,580","1,603","2,284","3,269","3,111"
영업이익,182,191,193,217,137
영업이익(발표기준),182,191,193,217,137
세전계속사업이익,169,206,181,199,136
당기순이익,134,162,143,137,88
  당기순이익(지배),134,162,139,135,87
  당기순이익(비지배),,0,3,2,1
자산총계,996,"1,534","1,967","2,375","2,806"
부채총계,75,380,965,"1,019","1,348"
자본총계,920,"1,154","1,001","1,356","1,458"
  자본총계(지배),920,"1,153",991,"1,346","1,447"
  자본총계(비지배),,1,10,10,11
자본금,25,25,19,21,65
영업활동현금흐름,81,513,92,154,-178
투자활동현금흐름,-60,-384,-124,-240,-20
재무활동현금흐름,-68,3,84,154,37
CAPEX,52,106,57,115,41
FCF,29,406,35,39,-219
이자발생부채,0,56,518,477,544
영업이익률,11.53,11.93,8.46,6.63,4.41
순이익률,8.50,10.11,6.25,4.18,2.82
ROE(%),15.11,15.60,13.00,11.52,6.24
ROA(%),13.64,12.75,8.15,6.29,3.39
부채비율,8.20,32.93,96.42,75.11,92.50
자본유보율,"3,686.84","4,217.41","6,162.37","7,180.52","2,439.14"
EPS(원),875,"1,080","1,189","1,127",677
PER(배),,,,14.63,21.71
BPS(원),"6,145","7,696","8,547","10,549","11,164"
PBR(배),0.00,0.00,0.00,1.56,1.32
현금DPS(원),268,0,0,312,300
현금배당수익률,,,,1.89,2.04
현금배당성향(%),29.69,0.00,0.00,29.38,44.64
발행주식수(보통주),"14,975,120","14,975,120","11,597,872","12,799,807","12,999,807"
