주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,868","3,796","4,687","5,257","4,871","6,254","7,116","7,735"
영업이익,330,399,287,491,526,830,988,"1,152"
영업이익(발표기준),330,399,287,491,526,,,
세전계속사업이익,303,456,331,415,520,886,"1,044","1,191"
당기순이익,238,358,264,296,390,643,757,889
  당기순이익(지배),238,358,264,296,390,644,757,889
  당기순이익(비지배),,,,,,,,
자산총계,"4,595","5,124","5,816","7,573","8,840","9,633","10,672","11,605"
부채총계,910,"1,111","1,533","1,480","2,002","2,151","2,387","2,361"
자본총계,"3,684","4,013","4,282","6,093","6,839","7,482","8,286","9,244"
  자본총계(지배),"3,684","4,013","4,282","6,093","6,839","7,482","8,293","9,264"
  자본총계(비지배),,,,,,,,
자본금,140,140,140,150,150,150,150,150
영업활동현금흐름,-72,-291,-122,52,-84,"1,480","1,766","1,966"
투자활동현금흐름,"-1,410","1,406",-810,-163,265,"-1,157","-1,282","-1,261"
재무활동현금흐름,"1,881",-97,0,0,-30,-8,-24,-10
CAPEX,1,2,6,72,23,36,40,48
FCF,-73,-293,-128,-20,-107,933,"1,119","1,194"
이자발생부채,100,0,0,0,0,,,
영업이익률,11.50,10.51,6.12,9.34,10.79,13.27,13.88,14.89
순이익률,8.31,9.44,5.64,5.63,8.02,10.28,10.64,11.49
ROE(%),9.45,9.31,6.37,5.71,6.04,8.99,9.60,10.12
ROA(%),6.80,7.37,4.83,4.42,4.76,6.96,7.46,7.98
부채비율,24.70,27.68,35.80,24.28,29.27,28.74,28.81,25.54
자본유보율,"2,508.72","2,764.56","2,956.14","3,952.36","4,212.16",,,
EPS(원),"1,050","1,278",941,"1,044","1,301","2,144","2,523","2,961"
PER(배),61.90,72.30,85.93,88.69,69.93,37.31,31.70,27.02
BPS(원),"13,141","14,305","15,242","20,309","22,785","24,927","27,629","30,865"
PBR(배),4.95,6.46,5.31,4.56,3.99,3.21,2.90,2.59
현금DPS(원),0,0,0,0,,0,0,111
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.14
현금배당성향(%),0.00,0.00,0.00,0.00,,,,3.75
발행주식수(보통주),"28,037,240","28,051,490","28,096,370","30,004,345","30,014,185",,,
