주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,387,546,268,311,511,716,818
영업이익,154,157,48,65,50,92,103
영업이익(발표기준),154,157,48,65,50,,
세전계속사업이익,138,193,81,64,137,89,113
당기순이익,110,153,66,55,106,79,99
  당기순이익(지배),110,153,66,55,118,93,112
  당기순이익(비지배),0,0,,,-11,,
자산총계,881,819,873,936,"1,324","1,401","1,508"
부채총계,267,50,56,89,329,311,321
자본총계,614,770,817,847,995,"1,090","1,187"
  자본총계(지배),613,770,817,847,963,"1,056","1,153"
  자본총계(비지배),1,,,,32,,
자본금,37,38,75,75,75,75,75
영업활동현금흐름,157,89,38,34,22,80,94
투자활동현금흐름,-373,-34,-42,-9,-140,-87,-97
재무활동현금흐름,254,3,-33,-52,142,-15,-15
CAPEX,8,23,67,58,13,67,76
FCF,149,67,-28,-24,9,0,4
이자발생부채,4,0,3,4,166,,
영업이익률,39.83,28.68,17.97,20.97,9.72,12.91,12.59
순이익률,28.40,27.98,24.80,17.74,20.83,11.03,12.10
ROE(%),25.67,22.10,8.37,6.63,12.99,9.21,10.14
ROA(%),18.32,17.98,7.85,6.10,9.42,5.80,6.81
부채비율,43.39,6.47,6.84,10.56,33.06,28.53,27.04
자본유보율,"1,560.03","1,967.45","1,002.27","1,055.79","1,211.78",,
EPS(원),832,"1,030",441,366,781,618,744
PER(배),28.52,9.19,20.91,28.65,11.42,14.99,12.44
BPS(원),"4,161","5,120","5,490","5,893","6,700","7,348","8,023"
PBR(배),5.70,1.85,1.68,1.78,1.33,1.26,1.15
현금DPS(원),0,100,100,100,100,100,100
현금배당수익률,0.00,1.06,1.08,0.95,1.12,1.08,1.08
현금배당성향(%),0.00,9.84,22.40,26.06,12.23,16.18,13.44
발행주식수(보통주),"14,732,180","15,032,180","15,050,580","15,050,580","15,050,580",,
