주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,106","1,221","1,491","1,841","1,781","2,209","2,500","2,772"
영업이익,14,44,105,152,134,370,458,542
영업이익(발표기준),14,44,105,152,134,,,
세전계속사업이익,4,36,105,143,149,387,488,575
당기순이익,4,31,91,118,124,327,415,489
  당기순이익(지배),4,31,91,118,124,327,415,489
  당기순이익(비지배),,,,0,0,,,
자산총계,596,592,751,"1,136","1,250","1,595","2,006","2,490"
부채총계,450,413,484,426,418,448,456,464
자본총계,147,178,267,710,832,"1,147","1,550","2,026"
  자본총계(지배),147,178,267,710,832,"1,147","1,550","2,026"
  자본총계(비지배),,,,0,0,,,
자본금,20,20,20,25,25,25,25,25
영업활동현금흐름,46,89,57,167,-5,376,502,580
투자활동현금흐름,-16,-21,-31,-266,-83,-353,-253,-103
재무활동현금흐름,-47,-81,-13,282,26,-12,-32,-32
CAPEX,14,16,36,57,279,350,250,100
FCF,32,73,21,111,-284,12,225,451
이자발생부채,314,234,222,178,210,,,
영업이익률,1.29,3.59,7.04,8.23,7.51,16.75,18.32,19.55
순이익률,0.39,2.57,6.09,6.42,6.97,14.80,16.60,17.64
ROE(%),2.99,19.33,40.80,,16.09,33.04,30.78,27.35
ROA(%),0.69,5.29,13.54,,10.40,22.99,23.05,21.75
부채비율,306.07,231.78,181.14,59.98,50.18,39.06,29.42,22.90
자본유보율,634.45,791.60,"1,236.08","2,788.94","3,286.90",,,
EPS(원),108,786,"2,272","2,911","2,524","6,651","8,441","9,946"
PER(배),,,,18.04,16.12,7.25,5.71,4.85
BPS(원),"3,672","4,458","6,680","14,445","16,929","23,330","31,528","41,210"
PBR(배),0.00,0.00,0.00,3.63,2.40,2.07,1.53,1.17
현금DPS(원),0,50,70,0,250,250,250,250
현금배당수익률,,,,0.00,0.61,0.52,0.52,0.52
현금배당성향(%),0.00,6.36,3.08,0.00,9.90,3.76,2.96,2.51
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,916,315","4,916,315",,,
