주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,240,406,142,152,43
영업이익,43,82,-10,-4,-123
영업이익(발표기준),43,82,-10,-4,-123
세전계속사업이익,28,83,-2,-23,-173
당기순이익,22,68,-3,-25,-162
  당기순이익(지배),22,68,-3,-24,-153
  당기순이익(비지배),,,,-1,-9
자산총계,325,382,387,770,934
부채총계,68,73,84,261,325
자본총계,257,309,303,509,609
  자본총계(지배),257,309,303,502,610
  자본총계(비지배),,,,8,-1
자본금,21,21,21,77,93
영업활동현금흐름,65,24,-7,-17,-84
투자활동현금흐름,-127,-26,9,-95,-143
재무활동현금흐름,45,-6,41,387,280
CAPEX,6,53,0,10,1
FCF,59,-29,-8,-28,-85
이자발생부채,15,9,56,207,276
영업이익률,17.74,20.17,-6.86,-2.54,-288.86
순이익률,9.12,16.75,-2.44,-16.74,-380.95
ROE(%),13.71,,-1.13,-5.98,-27.55
ROA(%),7.37,,-0.90,-4.41,-19.05
부채비율,26.23,23.66,27.57,51.17,53.40
자본유보율,"1,102.65","1,337.37","1,302.39",549.08,529.29
EPS(원),209,531,-27,-164,-884
PER(배),22.19,4.93,N/A,N/A,N/A
BPS(원),"2,010","2,408","2,357","3,270","3,292"
PBR(배),2.31,1.09,1.93,6.16,3.98
현금DPS(원),0,33,0,0,
현금배당수익률,0.00,1.27,0.00,0.00,
현금배당성향(%),0.00,6.29,0.00,0.00,
발행주식수(보통주),"12,810,000","12,837,000","12,856,890","15,339,588","18,535,991"
