주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,318","2,757","3,904","4,428","4,962","5,640","6,304","6,690"
영업이익,103,274,504,428,442,654,850,965
영업이익(발표기준),103,274,504,428,442,,,
세전계속사업이익,95,247,459,384,419,602,795,915
당기순이익,80,188,365,316,383,495,650,745
  당기순이익(지배),80,153,326,271,325,424,558,645
  당기순이익(비지배),,35,40,46,58,,,
자산총계,"2,365","3,794","4,786","5,275","7,003","7,575","8,290","9,080"
부채총계,"1,360","2,272","2,893","3,092","3,649","3,745","3,830","3,895"
자본총계,"1,004","1,522","1,893","2,183","3,354","3,830","4,460","5,185"
  자본총계(지배),"1,004","1,166","1,497","1,741","2,286","2,690","3,230","3,845"
  자본총계(비지배),,,396,441,"1,068",,,
자본금,219,219,219,219,219,220,220,220
영업활동현금흐름,279,685,961,795,"1,099","1,595","1,785","1,915"
투자활동현금흐름,-279,"-1,272",-986,-805,"-2,081","-1,715","-1,435","-1,290"
재무활동현금흐름,98,468,187,166,"1,123",-55,-60,-50
CAPEX,192,816,"1,067",865,"1,579","1,685","1,415","1,270"
FCF,87,-131,-106,-70,-480,,,
이자발생부채,"1,107","1,609","1,973","2,328","2,674",,,
영업이익률,7.78,9.96,12.92,9.66,8.91,11.59,13.49,14.42
순이익률,6.05,6.81,9.36,7.14,7.72,8.78,10.31,11.14
ROE(%),8.19,,24.47,16.71,16.16,17.04,18.85,18.23
ROA(%),3.55,,8.52,6.29,6.24,6.79,8.19,8.58
부채비율,135.48,149.26,152.83,141.67,108.77,97.78,85.87,75.12
자본유보율,358.69,432.51,572.49,695.47,944.31,,,
EPS(원),182,349,744,618,743,968,"1,274","1,473"
PER(배),15.35,11.70,10.48,23.87,17.97,11.57,8.79,7.60
BPS(원),"2,293","2,663","3,419","3,977","5,222","6,144","7,377","8,782"
PBR(배),1.22,1.53,2.28,3.71,2.56,1.82,1.52,1.28
현금DPS(원),0,0,50,50,50,50,50,50
현금배당수익률,0.00,0.00,0.64,0.34,0.37,0.45,0.45,0.45
현금배당성향(%),0.00,0.00,6.72,8.09,6.73,5.16,3.92,3.39
발행주식수(보통주),"43,784,592","43,784,592","43,784,592","43,784,592","43,784,592",,,
