주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,252,"1,126","1,334","1,132","1,132","1,236","1,623"
영업이익,4,196,253,182,174,239,311
영업이익(발표기준),4,196,253,182,174,,
세전계속사업이익,13,184,246,162,201,242,326
당기순이익,12,154,201,141,170,206,269
  당기순이익(지배),12,154,201,141,170,206,269
  당기순이익(비지배),,,,,,,
자산총계,"1,328","1,453","1,640","1,883","2,062","2,253","2,601"
부채총계,248,249,225,324,395,412,533
자본총계,"1,080","1,204","1,414","1,558","1,667","1,841","2,068"
  자본총계(지배),"1,080","1,204","1,414","1,558","1,667","1,841","2,068"
  자본총계(비지배),,,,,,,
자본금,98,98,108,108,108,108,108
영업활동현금흐름,315,171,264,244,252,291,263
투자활동현금흐름,-351,-308,-205,-141,-385,-167,-275
재무활동현금흐름,19,-36,11,168,-61,-34,19
CAPEX,363,366,72,46,97,124,111
FCF,-48,-195,192,198,155,158,128
이자발생부채,35,10,17,181,191,,
영업이익률,1.43,17.44,18.98,16.04,15.38,19.34,19.16
순이익률,4.89,13.65,15.05,12.48,15.03,16.67,16.57
ROE(%),1.15,13.46,15.34,9.50,10.55,11.74,13.76
ROA(%),0.97,11.06,12.99,8.02,8.63,9.55,11.08
부채비율,22.92,20.69,15.92,20.82,23.69,22.38,25.77
자본유보율,"1,001.50","1,144.10","1,216.94","1,351.02","1,484.35",,
EPS(원),57,714,932,656,790,956,"1,249"
PER(배),242.49,13.91,14.37,25.15,18.16,12.18,9.33
BPS(원),"5,016","5,614","6,567","7,235","7,827","8,641","9,707"
PBR(배),2.77,1.77,2.04,2.28,1.83,1.35,1.20
현금DPS(원),0,0,100,120,150,150,200
현금배당수익률,0.00,0.00,0.75,0.73,1.05,1.29,1.72
현금배당성향(%),0.00,0.00,10.73,18.29,18.77,15.68,16.01
발행주식수(보통주),"21,539,152","21,539,152","21,539,152","21,539,152","21,539,152",,
