주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,517,446,737,524,604
영업이익,32,10,28,-33,24
영업이익(발표기준),32,10,28,-33,24
세전계속사업이익,36,7,9,-104,14
당기순이익,34,19,19,-117,19
  당기순이익(지배),34,19,19,-117,19
  당기순이익(비지배),,,,,
자산총계,721,865,941,998,980
부채총계,215,331,222,400,363
자본총계,506,534,719,597,617
  자본총계(지배),506,534,719,597,617
  자본총계(비지배),,,,,
자본금,32,32,46,46,46
영업활동현금흐름,70,-64,-52,60,-33
투자활동현금흐름,-44,-100,93,-11,46
재무활동현금흐름,-8,179,0,193,-11
CAPEX,5,7,2,12,5
FCF,65,-71,-54,48,-38
이자발생부채,76,232,74,203,204
영업이익률,6.25,2.24,3.83,-6.22,3.92
순이익률,6.64,4.18,2.63,-22.28,3.19
ROE(%),6.97,3.59,,-17.71,3.18
ROA(%),5.00,2.35,,-12.03,1.95
부채비율,42.59,61.94,30.82,67.01,58.85
자본유보율,"1,488.28","1,578.95","1,494.60","1,229.30","1,271.54"
EPS(원),539,293,283,"-1,277",211
PER(배),11.67,20.90,37.45,N/A,39.39
BPS(원),"7,941","8,395","7,874","6,539","6,752"
PBR(배),0.79,0.73,1.35,1.40,1.23
현금DPS(원),150,100,50,0,0
현금배당수익률,2.38,1.63,0.47,0.00,0.00
현금배당성향(%),27.82,34.15,23.61,0.00,
발행주식수(보통주),"6,365,710","6,365,710","9,136,944","9,136,944","9,136,944"
