주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,592,864,593,880,"1,130","2,266","2,776"
영업이익,51,46,57,-45,-50,195,261
영업이익(발표기준),51,46,57,-45,-50,,
세전계속사업이익,46,31,45,-323,-39,190,255
당기순이익,43,27,43,-305,-29,183,232
  당기순이익(지배),43,27,43,-305,-29,182,231
  당기순이익(비지배),,,,,,,
자산총계,351,696,"1,016","1,195","1,891","1,519","2,024"
부채총계,283,622,854,660,"1,208",794,983
자본총계,68,73,162,535,683,725,"1,041"
  자본총계(지배),68,73,162,535,683,725,"1,041"
  자본총계(비지배),,,,,,,
자본금,12,12,12,19,37,28,19
영업활동현금흐름,58,-75,114,-120,-232,213,240
투자활동현금흐름,-28,-256,-201,28,16,-30,-64
재무활동현금흐름,29,340,152,292,481,4,0
CAPEX,27,247,150,24,17,8,11
FCF,31,-322,-35,-144,-249,186,175
이자발생부채,111,479,633,483,854,,
영업이익률,8.65,5.30,9.69,-5.12,-4.39,8.59,9.40
순이익률,7.25,3.07,7.28,-34.62,-2.54,8.08,8.36
ROE(%),101.64,,36.60,-87.41,-4.71,25.92,26.16
ROA(%),16.11,,5.04,-27.58,-1.86,10.73,13.10
부채비율,414.75,847.04,525.48,123.30,176.77,109.52,94.43
자본유보율,258.48,439.01,872.22,"2,572.25","1,554.38",,
EPS(원),957,565,870,"-5,724",-389,"2,442","3,091"
PER(배),,,,N/A,N/A,22.77,17.99
BPS(원),"1,519","1,500","3,202","7,606","9,454","10,031","14,403"
PBR(배),0.00,0.00,0.00,9.38,5.38,5.54,3.86
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,,,,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"4,488,474","4,488,474","4,663,627","7,279,697","7,473,170",,
