주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,180","1,465","1,059","1,287","1,813"
영업이익,50,134,59,164,261
영업이익(발표기준),50,134,59,164,261
세전계속사업이익,50,106,17,161,271
당기순이익,33,129,25,131,215
  당기순이익(지배),33,129,25,131,215
  당기순이익(비지배),,,,,
자산총계,"2,388","2,588","2,294","2,422","2,638"
부채총계,"1,085","1,065",759,571,563
자본총계,"1,302","1,522","1,534","1,851","2,075"
  자본총계(지배),"1,302","1,522","1,534","1,851","2,075"
  자본총계(비지배),,,,,
자본금,45,45,45,45,45
영업활동현금흐름,52,189,166,288,248
투자활동현금흐름,-334,-272,-23,-19,-60
재무활동현금흐름,316,42,-89,-301,-52
CAPEX,338,271,50,16,80
FCF,-286,-83,116,271,169
이자발생부채,681,713,495,193,154
영업이익률,4.22,9.12,5.61,12.74,14.41
순이익률,2.76,8.79,2.37,10.16,11.88
ROE(%),,9.12,1.68,7.73,10.96
ROA(%),,5.17,1.10,5.55,8.51
부채비율,83.36,69.97,49.48,30.84,27.13
자본유보율,"2,152.26","2,432.26","2,483.47","2,766.22","3,224.69"
EPS(원),362,"1,430",279,"1,453","2,392"
PER(배),13.83,5.05,22.49,6.50,5.00
BPS(원),"14,664","16,915","17,048","20,581","23,055"
PBR(배),0.34,0.43,0.37,0.46,0.52
현금DPS(원),0,0,0,75,100
현금배당수익률,0.00,0.00,0.00,0.79,0.84
현금배당성향(%),0.00,0.00,0.00,5.15,4.18
발행주식수(보통주),"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000"
