주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,6,4,2,45,38
영업이익,-33,-46,-108,-75,-74
영업이익(발표기준),-33,-46,-108,-75,-74
세전계속사업이익,-42,-62,-106,-76,-77
당기순이익,-41,-63,-106,-76,-77
  당기순이익(지배),-41,-63,-106,-76,-76
  당기순이익(비지배),,,,,-1
자산총계,63,94,387,466,404
부채총계,54,33,24,159,162
자본총계,9,61,363,307,243
  자본총계(지배),9,61,363,307,241
  자본총계(비지배),,,,,2
자본금,7,11,15,15,15
영업활동현금흐름,-22,-48,-64,-41,-61
투자활동현금흐름,51,-24,-164,-108,38
재무활동현금흐름,-44,82,355,117,3
CAPEX,3,3,3,118,10
FCF,-25,-51,-67,-159,-71
이자발생부채,51,21,3,119,118
영업이익률,-551.23,"-1,272.23","-4,702.46",-167.80,-196.10
순이익률,-692.52,"-1,729.70","-4,637.28",-170.09,-202.68
ROE(%),-208.00,-179.93,,-22.81,-27.67
ROA(%),-39.62,-80.01,,-17.92,-17.64
부채비율,610.68,54.60,6.60,51.79,66.73
자본유보율,20.67,454.11,"2,196.27","1,653.23","1,196.90"
EPS(원),-568,-685,-849,-509,-500
PER(배),,,N/A,N/A,N/A
BPS(원),121,554,"2,488","2,078","1,624"
PBR(배),0.00,0.00,2.97,4.89,4.70
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,000,000","11,000,000","14,923,612","15,094,489","15,160,989"
