주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,227","4,302","4,189","2,728","2,634","3,377","4,697","5,490"
영업이익,206,285,307,-56,-9,164,412,570
영업이익(발표기준),206,285,307,-56,-9,,,
세전계속사업이익,156,233,281,-61,46,201,449,610
당기순이익,130,197,221,-66,11,161,349,470
  당기순이익(지배),129,196,221,-64,13,156,339,460
  당기순이익(비지배),0,0,0,-2,-2,,,
자산총계,"2,642","2,930","2,812","2,810","3,691","3,800","4,430","4,720"
부채총계,984,"1,156",871,968,"1,702","1,660","1,950","1,770"
자본총계,"1,658","1,773","1,941","1,842","1,989","2,140","2,480","2,950"
  자본총계(지배),"1,658","1,773","1,940","1,841","1,875","2,010","2,340","2,780"
  자본총계(비지배),0,,1,1,114,,,
자본금,84,84,84,84,84,80,80,80
영업활동현금흐름,413,131,278,315,-58,440,300,420
투자활동현금흐름,-96,-186,-67,-284,-458,60,-90,-140
재무활동현금흐름,-292,87,-125,86,523,-180,60,-280
CAPEX,116,183,66,250,287,,,
FCF,297,-52,212,66,-345,420,140,200
이자발생부채,270,427,382,515,"1,084",,,
영업이익률,3.94,6.63,7.32,-2.05,-0.33,4.86,8.77,10.38
순이익률,2.48,4.57,5.27,-2.43,0.42,4.77,7.43,8.56
ROE(%),8.06,11.45,11.88,-3.39,0.68,8.03,15.59,17.97
ROA(%),4.69,7.06,7.69,-2.35,0.34,4.30,8.48,10.27
부채비율,59.33,65.22,44.87,52.52,85.60,77.57,78.63,60.00
자본유보율,"1,933.65","2,132.53","2,360.21","2,227.94","2,253.28",,,
EPS(원),773,"1,175","1,319",-383,75,946,"2,065","2,802"
PER(배),10.17,5.70,7.14,N/A,113.55,9.99,4.58,3.37
BPS(원),"10,175","11,281","12,706","12,009","12,127","12,999","15,133","17,979"
PBR(배),0.77,0.59,0.74,0.64,0.71,0.73,0.62,0.53
현금DPS(원),160,200,240,0,100,100,100,100
현금배당수익률,2.04,2.99,2.55,0.00,1.17,1.06,1.06,1.06
현금배당성향(%),20.17,16.01,16.62,0.00,122.55,10.52,4.84,3.57
발행주식수(보통주),"16,717,058","16,717,058","16,717,058","16,717,058","16,717,058",,,
