주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,163,"1,023",921,"1,281","2,748",
영업이익,83,218,163,389,964,"1,205"
영업이익(발표기준),83,218,163,389,964,
세전계속사업이익,83,218,163,388,967,"1,000"
당기순이익,76,186,114,302,803,950
  당기순이익(지배),76,186,114,302,803,950
  당기순이익(비지배),0,0,0,0,0,
자산총계,978,"3,259","4,167","5,198","8,617","9,280"
부채총계,52,"2,072","2,654","3,435","6,158","6,650"
자본총계,927,"1,186","1,512","1,764","2,460","2,790"
  자본총계(지배),927,"1,186","1,512","1,764","2,460","2,790"
  자본총계(비지배),,,,,,
자본금,249,265,312,465,467,520
영업활동현금흐름,114,-100,-265,-261,"-1,010",
투자활동현금흐름,-4,-12,-101,3,-41,
재무활동현금흐름,0,113,569,131,"1,113",
CAPEX,0,1,2,6,2,
FCF,,,,,,
이자발생부채,0,0,0,30,280,
영업이익률,51.25,21.28,17.67,30.39,35.07,
순이익률,46.52,18.16,12.37,23.59,29.22,
ROE(%),8.52,,8.45,18.44,38.03,36.19
ROA(%),8.07,,3.07,6.45,11.63,10.62
부채비율,5.59,174.74,175.50,194.77,250.35,238.35
자본유보율,272.67,347.03,385.26,279.25,436.28,
EPS(원),198,462,243,626,"1,657","1,960"
PER(배),,,12.69,8.30,4.86,3.99
BPS(원),"2,416","2,894","3,133","3,653","5,127","5,815"
PBR(배),0.00,0.00,0.98,1.42,1.57,1.34
현금DPS(원),0,0,118,148,79,155
현금배당수익률,,,3.81,2.84,0.98,1.98
현금배당성향(%),0.00,0.00,49.79,23.60,4.72,7.91
발행주식수(보통주),"38,350,513","40,979,393","48,275,718","48,275,718","48,480,361",
