주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,121,137,292,424,411,673,920
영업이익,-62,-77,-23,-1,-128,81,193
영업이익(발표기준),-62,-77,-23,-1,-128,,
세전계속사업이익,-74,-60,-17,-177,-83,56,167
당기순이익,-74,-71,-17,-183,-92,59,168
  당기순이익(지배),-74,-69,-7,-158,-39,119,201
  당기순이익(비지배),,-2,-10,-25,-53,,
자산총계,430,714,860,"1,592","2,603","2,708","2,979"
부채총계,32,47,158,986,"1,264","1,027","1,130"
자본총계,398,667,702,606,"1,339","1,681","1,849"
  자본총계(지배),398,666,700,612,"1,367","1,740","1,941"
  자본총계(비지배),,,2,-7,-28,,
자본금,63,69,69,140,215,167,167
영업활동현금흐름,-43,-91,91,15,-94,116,208
투자활동현금흐름,-3,-228,-220,-429,"-1,260",89,252
재무활동현금흐름,17,354,86,761,"1,070",219,213
CAPEX,7,72,82,51,136,32,32
FCF,-51,-163,10,-36,-230,-105,-82
이자발생부채,0,18,58,899,"1,146",,
영업이익률,-51.00,-55.90,-7.70,-0.14,-31.12,11.99,21.01
순이익률,-61.54,-51.59,-5.95,-43.07,-22.35,8.82,18.22
ROE(%),-17.51,-12.91,-1.03,-24.11,-3.92,7.68,10.92
ROA(%),-16.38,-12.36,-2.21,-14.91,-4.38,2.23,5.90
부채비율,7.95,7.02,22.47,162.80,94.39,61.11,61.13
자본유보율,519.08,856.48,894.63,324.95,526.36,,
EPS(원),-197,-176,-17,-377,-90,275,463
PER(배),N/A,N/A,N/A,N/A,N/A,179.64,106.68
BPS(원),"1,053","1,684","1,679","1,444","3,158","4,010","4,473"
PBR(배),7.03,5.66,13.29,82.99,23.97,12.32,11.05
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"37,830,990","37,929,690","41,690,250","42,124,350","42,313,358",,
