주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"1,531","1,608","1,670","1,361","1,793","2,167"
영업이익,56,89,49,-25,7,129
영업이익(발표기준),56,89,49,-25,7,
세전계속사업이익,45,73,55,-48,11,
당기순이익,36,53,43,-43,7,99
  당기순이익(지배),36,53,42,-44,7,
  당기순이익(비지배),,0,1,1,0,
자산총계,"1,579","1,602","1,591","1,540","1,620",
부채총계,874,859,828,817,894,
자본총계,705,743,763,723,727,
  자본총계(지배),705,742,761,719,723,
  자본총계(비지배),,,2,3,3,
자본금,45,45,45,45,45,
영업활동현금흐름,-25,202,179,43,-153,
투자활동현금흐름,-41,-52,-25,-8,-28,
재무활동현금흐름,47,-149,-152,28,111,
CAPEX,21,36,45,13,31,
FCF,-46,165,134,30,-184,
이자발생부채,599,455,335,386,502,
영업이익률,3.69,5.55,2.93,-1.84,0.40,5.95
순이익률,2.33,3.30,2.57,-3.19,0.42,4.57
ROE(%),5.19,7.34,5.58,-5.99,1.04,
ROA(%),2.32,3.34,2.69,-2.77,0.47,
부채비율,123.95,115.57,108.49,112.97,123.01,
자본유보율,"1,188.04","1,281.11","1,391.45","1,282.11","1,289.98",
EPS(원),396,590,466,-493,83,
PER(배),9.20,6.49,9.09,N/A,78.40,
BPS(원),"8,136","8,559","9,150","8,651","8,695",
PBR(배),0.45,0.45,0.46,0.80,0.75,
현금DPS(원),80,100,90,30,50,
현금배당수익률,2.20,2.61,2.13,0.43,0.77,
현금배당성향(%),17.72,16.31,17.85,-5.63,55.64,
발행주식수(보통주),"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000",
