주요재무정보,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,14,38,81
영업이익,,-14,-38,-76
영업이익(발표기준),,-14,-38,-76
세전계속사업이익,,-31,-92,-90
당기순이익,,-31,-92,-90
  당기순이익(지배),,-31,-92,-90
  당기순이익(비지배),,,,
자산총계,,130,304,581
부채총계,,152,416,62
자본총계,,-22,-112,519
  자본총계(지배),,-22,-112,519
  자본총계(비지배),,,,
자본금,,5,27,54
영업활동현금흐름,,-23,18,-93
투자활동현금흐름,,-77,-120,107
재무활동현금흐름,,117,157,347
CAPEX,,48,16,16
FCF,,-72,2,-109
이자발생부채,,90,177,3
영업이익률,,-103.13,-99.22,-93.69
순이익률,,-224.89,-241.18,-110.88
ROE(%),,,136.14,-44.34
ROA(%),,,-42.19,-20.39
부채비율,,-684.71,-370.82,11.86
자본유보율,,-516.48,-472.69,831.54
EPS(원),,-466,"-1,183",-980
PER(배),,,,N/A
BPS(원),,-322,"-1,265","4,775"
PBR(배),,0.00,0.00,2.67
현금DPS(원),0,0,0,
현금배당수익률,,,,
현금배당성향(%),,,0.00,
발행주식수(보통주),"5,331,545","5,331,545","5,331,545","10,869,315"
