주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"1,718","1,813","2,024","2,677","3,929","4,926"
영업이익,58,90,130,192,398,517
영업이익(발표기준),58,90,130,192,398,
세전계속사업이익,-6,33,150,114,409,521
당기순이익,-21,23,117,74,334,401
  당기순이익(지배),2,43,114,78,328,394
  당기순이익(비지배),-23,-19,3,-4,6,
자산총계,"1,471","1,731","2,370","2,410","3,208","3,823"
부채총계,821,"1,048","1,462","1,429","1,923","2,169"
자본총계,650,683,908,980,"1,285","1,654"
  자본총계(지배),671,714,938,"1,012","1,313","1,675"
  자본총계(비지배),-20,,-29,-32,-28,
자본금,97,97,111,111,111,111
영업활동현금흐름,-32,137,27,56,-53,145
투자활동현금흐름,-93,-186,-336,-127,-291,398
재무활동현금흐름,100,110,307,87,326,162
CAPEX,27,115,284,84,68,
FCF,-58,21,-257,-28,-121,145
이자발생부채,712,838,"1,159","1,227","1,637",
영업이익률,3.36,4.98,6.41,7.17,10.12,10.50
순이익률,-1.24,1.28,5.77,2.76,8.49,8.14
ROE(%),0.23,6.16,13.79,8.03,28.18,26.37
ROA(%),-1.45,1.45,5.70,3.09,11.88,11.41
부채비율,126.26,153.49,160.90,145.79,149.59,131.14
자본유보율,611.35,644.61,756.36,816.37,"1,090.45",
EPS(원),8,220,540,352,"1,471","1,769"
PER(배),509.98,17.99,11.11,18.97,6.23,6.50
BPS(원),"3,522","3,730","4,281","4,608","5,980","7,627"
PBR(배),1.16,1.06,1.40,1.45,1.53,1.51
현금DPS(원),60,60,60,90,150,150
현금배당수익률,1.47,1.51,1.00,1.35,1.64,1.30
현금배당성향(%),739.04,26.95,11.54,25.24,10.06,8.48
발행주식수(보통주),"19,343,000","19,453,473","22,209,318","22,267,814","22,267,814",
