주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,686,952,846,757,945
영업이익,47,91,-53,-82,19
영업이익(발표기준),47,91,-53,-82,19
세전계속사업이익,48,80,-91,3,6
당기순이익,39,64,-78,-15,-1
  당기순이익(지배),39,64,-66,8,-1
  당기순이익(비지배),,,-11,-23,
자산총계,"1,028","1,249","1,130",964,"1,192"
부채총계,509,677,606,458,632
자본총계,519,572,524,505,560
  자본총계(지배),519,572,523,527,560
  자본총계(비지배),,,1,-22,
자본금,49,49,53,53,53
영업활동현금흐름,0,-177,213,-12,-240
투자활동현금흐름,-303,63,-127,178,33
재무활동현금흐름,332,126,-69,-127,170
CAPEX,188,17,111,32,11
FCF,-189,-194,102,-43,-251
이자발생부채,348,473,463,344,419
영업이익률,6.84,9.59,-6.28,-10.85,2.02
순이익률,5.64,6.72,-9.17,-1.92,-0.14
ROE(%),7.73,11.74,,1.60,-0.24
ROA(%),4.79,5.62,,-1.39,-0.12
부채비율,98.13,118.28,115.77,90.73,112.71
자본유보율,992.21,"1,101.13",930.85,946.09,951.70
EPS(원),392,649,-652,79,-12
PER(배),10.35,6.40,N/A,40.51,N/A
BPS(원),"5,422","5,984","5,134","5,234","5,259"
PBR(배),0.75,0.69,0.71,0.61,0.74
현금DPS(원),80,120,,,
현금배당수익률,1.97,2.89,,,
현금배당성향(%),19.78,17.93,0.00,0.00,
발행주식수(보통주),"9,863,089","9,863,089","10,656,896","10,656,896","10,656,896"
