주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,2,12,8,4,3
영업이익,-28,-26,-45,-66,-129
영업이익(발표기준),-28,-26,-45,-66,-129
세전계속사업이익,-26,-26,-41,-50,-133
당기순이익,-26,-26,-41,-49,-109
  당기순이익(지배),-26,-26,-41,-49,-109
  당기순이익(비지배),,,,,
자산총계,62,228,197,283,555
부채총계,14,7,18,100,325
자본총계,47,220,179,183,230
  자본총계(지배),47,220,179,183,230
  자본총계(비지배),,,,,
자본금,22,28,28,28,29
영업활동현금흐름,-22,-28,-34,-45,-52
투자활동현금흐름,3,-191,117,-41,-56
재무활동현금흐름,35,196,-3,96,300
CAPEX,3,13,6,3,12
FCF,-25,-41,-39,-47,-64
이자발생부채,4,0,8,59,246
영업이익률,"-1,367.56",-212.97,-561.78,"-1,591.61","-3,697.31"
순이익률,"-1,272.69",-212.09,-518.30,"-1,181.30","-3,125.13"
ROE(%),-100.62,-19.42,-20.72,-26.97,-52.58
ROA(%),-46.69,-17.98,-19.50,-20.36,-25.93
부채비율,30.20,3.23,10.02,54.39,141.33
자본유보율,116.83,685.25,538.25,534.40,716.11
EPS(원),-677,-571,-735,-868,"-1,913"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),"1,076","3,912","3,181","3,255","3,944"
PBR(배),0.00,2.81,3.95,13.12,15.52
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,397,864","5,633,864","5,633,864","5,633,864","5,894,060"
