주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,973,"1,339","1,402","1,252","1,631"
영업이익,80,73,100,62,71
영업이익(발표기준),80,73,100,62,71
세전계속사업이익,85,85,113,49,88
당기순이익,69,68,95,40,64
  당기순이익(지배),67,63,93,38,66
  당기순이익(비지배),2,5,3,1,-2
자산총계,"1,239","1,231","1,353","1,268","1,516"
부채총계,488,416,464,374,569
자본총계,751,815,888,894,947
  자본총계(지배),704,768,844,863,918
  자본총계(비지배),47,,44,31,29
자본금,125,131,131,131,131
영업활동현금흐름,76,102,144,33,65
투자활동현금흐름,-23,-126,-98,-87,-93
재무활동현금흐름,-40,-46,16,-75,56
CAPEX,26,92,53,92,94
FCF,50,9,91,-60,-28
이자발생부채,262,209,248,197,310
영업이익률,8.27,5.48,7.13,4.96,4.33
순이익률,7.09,5.08,6.80,3.16,3.92
ROE(%),9.89,8.53,11.50,4.49,7.42
ROA(%),6.35,5.50,7.38,3.02,4.59
부채비율,65.05,51.11,52.28,41.84,60.14
자본유보율,455.54,485.75,546.70,566.02,606.57
EPS(원),267,245,355,147,253
PER(배),7.16,7.17,6.27,17.39,12.48
BPS(원),"2,818","2,937","3,231","3,301","3,511"
PBR(배),0.68,0.60,0.69,0.77,0.90
현금DPS(원),50,50,50,50,50
현금배당수익률,2.62,2.85,2.25,1.96,1.58
현금배당성향(%),18.75,20.82,14.09,34.10,19.78
발행주식수(보통주),"24,998,547","26,133,306","26,133,306","26,133,306","26,133,306"
