주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,"2,437","2,625","2,880","2,920",503
영업이익,216,89,58,30,-3
영업이익(발표기준),216,89,58,30,-3
세전계속사업이익,201,-33,-55,10,24
당기순이익,156,-70,-76,18,53
  당기순이익(지배),101,-105,-88,15,53
  당기순이익(비지배),54,35,12,4,
자산총계,"2,423","2,308","2,600","2,569","1,389"
부채총계,589,546,591,548,185
자본총계,"1,834","1,762","2,009","2,021","1,204"
  자본총계(지배),"1,343","1,239","1,159","1,172","1,204"
  자본총계(비지배),491,,850,849,
자본금,99,99,99,99,99
영업활동현금흐름,397,405,461,269,-3
투자활동현금흐름,-75,-61,-217,-39,-305
재무활동현금흐름,-154,-85,237,-20,-9
CAPEX,11,15,36,31,0
FCF,386,390,425,238,-3
이자발생부채,163,80,27,23,4
영업이익률,8.84,3.38,2.02,1.03,-0.54
순이익률,6.39,-2.66,-2.63,0.63,10.55
ROE(%),7.85,-8.12,-7.31,1.27,5.03
ROA(%),6.35,-2.95,-3.08,0.71,4.45
부채비율,32.11,31.00,29.41,27.10,15.36
자본유보율,"1,294.23","1,189.11","1,108.41","1,122.58","1,158.49"
EPS(원),512,-529,-443,75,268
PER(배),13.71,N/A,N/A,61.78,20.00
BPS(원),"6,926","6,389","5,976","6,044","6,209"
PBR(배),1.01,0.87,0.84,0.76,0.86
현금DPS(원),0,20,20,20,20
현금배당수익률,0.00,0.36,0.40,0.43,0.37
현금배당성향(%),0.00,-3.70,-4.42,26.21,7.31
발행주식수(보통주),"19,790,916","19,790,916","19,790,916","19,790,916","19,790,916"
