주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,69,74,94,98,118
영업이익,3,1,1,-10,-16
영업이익(발표기준),3,1,1,-10,-16
세전계속사업이익,3,-30,0,-75,-24
당기순이익,3,-30,0,-73,-27
  당기순이익(지배),3,-30,0,-73,-27
  당기순이익(비지배),,,,,
자산총계,104,97,114,188,210
부채총계,58,52,48,95,159
자본총계,46,45,66,93,51
  자본총계(지배),46,45,66,93,51
  자본총계(비지배),,,,,
자본금,9,11,12,13,38
영업활동현금흐름,5,1,-1,-10,-22
투자활동현금흐름,5,-15,-5,-46,-45
재무활동현금흐름,-9,22,5,67,54
CAPEX,0,0,1,53,36
FCF,5,1,-2,-63,-57
이자발생부채,51,43,30,72,132
영업이익률,3.98,1.43,0.69,-10.15,-13.13
순이익률,4.11,-40.66,0.49,-74.83,-22.50
ROE(%),,-66.25,0.82,,-36.92
ROA(%),,-30.00,0.43,,-13.39
부채비율,127.14,114.40,71.81,101.98,310.52
자본유보율,363.03,293.41,389.24,550.48,52.57
EPS(원),62,-633,9,"-1,277",-347
PER(배),,,600.64,N/A,N/A
BPS(원),"1,000",915,"1,186","1,227",664
PBR(배),0.00,0.00,4.36,6.19,13.71
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,200,000","4,253,763","4,937,355","7,604,019","7,693,044"
