주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,707","2,543","2,690","2,881","3,230"
영업이익,232,165,116,257,257
영업이익(발표기준),232,165,116,257,257
세전계속사업이익,228,183,217,276,274
당기순이익,133,139,159,201,195
  당기순이익(지배),133,139,159,201,195
  당기순이익(비지배),,,,,
자산총계,"1,644","1,750","2,225","2,692","3,453"
부채총계,651,664,992,"1,032","1,179"
자본총계,993,"1,086","1,234","1,660","2,274"
  자본총계(지배),993,"1,086","1,234","1,660","2,274"
  자본총계(비지배),,,,,
자본금,38,38,38,38,38
영업활동현금흐름,177,32,59,344,121
투자활동현금흐름,-19,-93,-36,-127,-165
재무활동현금흐름,-18,-45,-29,-53,-25
CAPEX,2,0,9,,3
FCF,175,32,50,344,119
이자발생부채,0,0,6,4,1
영업이익률,8.58,6.48,4.30,8.93,7.97
순이익률,4.93,5.46,5.93,6.98,6.05
ROE(%),14.33,13.35,13.75,13.89,9.93
ROA(%),8.27,8.17,8.02,8.18,6.36
부채비율,65.57,61.18,80.37,62.16,51.82
자본유보율,"2,655.94","2,966.34","3,348.00","3,987.61","4,739.93"
EPS(원),"1,779","1,850","2,126","2,680","2,606"
PER(배),10.29,7.24,8.02,6.57,8.06
BPS(원),"13,593","15,240","17,405","24,157","33,094"
PBR(배),1.35,0.88,0.98,0.73,0.63
현금DPS(원),280,280,300,320,340
현금배당수익률,1.53,2.09,1.76,1.82,1.62
현금배당성향(%),15.74,15.14,12.84,10.94,11.96
발행주식수(보통주),"7,500,000","7,500,000","7,500,000","7,500,000","7,500,000"
