주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,,145,181,151,222,358,464,555
영업이익,,4,-17,-15,12,58,87,111
영업이익(발표기준),,4,-17,-15,12,,,
세전계속사업이익,,5,-28,-13,16,58,87,111
당기순이익,,6,-25,-22,26,46,68,86
  당기순이익(지배),,6,-25,-22,26,46,68,86
  당기순이익(비지배),,,,,,,,
자산총계,,130,115,85,176,,,
부채총계,,36,46,34,48,,,
자본총계,,94,70,51,128,,,
  자본총계(지배),,94,70,51,128,,,
  자본총계(비지배),,,,,,,,
자본금,,6,6,6,32,,,
영업활동현금흐름,,17,-4,-9,-20,,,
투자활동현금흐름,,-2,19,-6,-7,,,
재무활동현금흐름,,,-16,0,47,,,
CAPEX,,2,4,5,0,,,
FCF,,16,-7,-13,-20,,,
이자발생부채,,7,3,9,7,,,
영업이익률,,2.71,-9.12,-9.96,5.50,16.20,18.75,20.00
순이익률,,4.08,-13.68,-14.45,11.92,12.85,14.66,15.50
ROE(%),,,-30.24,-36.14,29.55,,,
ROA(%),,,-20.18,-21.74,20.22,,,
부채비율,,38.22,65.61,67.11,37.76,,,
자본유보율,,"1,622.33","1,194.16",817.69,308.08,,,
EPS(원),,134,-436,-384,432,593,854,"1,080"
PER(배),,,,,,27.64,19.21,15.19
BPS(원),,"1,658","1,227",898,"2,023",,,
PBR(배),,0.00,0.00,0.00,0.00,,,
현금DPS(원),0,0,0,0,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"3,518,200","5,676,950","5,676,950","5,676,950","6,317,980",,,
