주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,3,15,10,3,2
영업이익,-20,-34,-72,-61,-114
영업이익(발표기준),-20,-34,-72,-61,-114
세전계속사업이익,-20,-41,-63,-39,-107
당기순이익,-20,-41,-63,-39,-107
  당기순이익(지배),-20,-41,-63,-39,-107
  당기순이익(비지배),,,,,
자산총계,107,203,774,754,649
부채총계,5,20,22,34,32
자본총계,102,183,752,720,617
  자본총계(지배),102,183,752,720,617
  자본총계(비지배),,,,,
자본금,4,43,54,55,111
영업활동현금흐름,-20,-17,-60,-38,-89
투자활동현금흐름,-1,-77,-445,4,11
재무활동현금흐름,,109,628,15,-4
CAPEX,0,0,37,20,2
FCF,-20,-18,-97,-58,-91
이자발생부채,0,0,1,1,1
영업이익률,-680.73,-231.21,-702.06,"-1,778.30","-5,081.88"
순이익률,-655.13,-279.42,-618.31,"-1,149.08","-4,778.80"
ROE(%),-17.56,-28.49,-13.48,-5.33,-15.99
ROA(%),-16.89,-26.22,-12.89,-5.13,-15.23
부채비율,4.47,11.01,2.99,4.72,5.26
자본유보율,"2,511.63",308.50,"1,255.81","1,192.29",450.22
EPS(원),-217,-297,-317,-178,-482
PER(배),,,N/A,N/A,N/A
BPS(원),"1,130","1,056","3,453","3,246","2,778"
PBR(배),0.00,0.00,5.01,7.83,13.39
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,040,000","17,336,800","21,763,466","22,190,466","22,196,466"
