주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,181,110,200,346,410,648
영업이익,-83,-13,13,37,32,91
영업이익(발표기준),-83,-13,13,37,32,
세전계속사업이익,-105,17,15,21,29,89
당기순이익,-102,13,15,32,23,71
  당기순이익(지배),-97,13,15,32,23,71
  당기순이익(비지배),-5,0,0,0,0,
자산총계,126,74,166,275,722,387
부채총계,114,44,73,38,276,44
자본총계,12,29,93,237,446,343
  자본총계(지배),11,29,92,237,446,343
  자본총계(비지배),1,0,0,0,0,
자본금,9,10,16,25,31,25
영업활동현금흐름,-17,5,-44,-15,0,18
투자활동현금흐름,0,0,-8,-5,-143,-10
재무활동현금흐름,-1,2,75,69,291,0
CAPEX,0,,2,0,2,
FCF,-17,5,-46,-15,-2,8
이자발생부채,28,30,31,31,136,
영업이익률,-45.60,-12.01,6.46,10.67,7.69,14.04
순이익률,-56.36,11.55,7.37,9.10,5.68,10.96
ROE(%),-171.56,64.72,24.30,19.13,6.83,17.99
ROA(%),-56.16,12.80,12.31,14.29,4.68,12.80
부채비율,953.66,151.39,78.81,16.07,61.78,12.83
자본유보율,-56.98,138.45,451.06,836.86,"1,302.50",
EPS(원),"-4,785",641,486,691,465,"1,135"
PER(배),N/A,1.68,10.29,29.38,51.64,15.15
BPS(원),557,"1,424","2,127","4,753","7,145","5,481"
PBR(배),10.59,0.75,2.35,4.27,3.36,3.14
현금DPS(원),0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"1,885,786","1,934,674","3,184,674","4,988,519","6,248,519",
