주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,348,530,648,"1,172","1,912"
영업이익,43,65,55,66,15
영업이익(발표기준),43,65,55,66,15
세전계속사업이익,43,68,59,66,9
당기순이익,39,60,45,63,3
  당기순이익(지배),39,60,45,63,3
  당기순이익(비지배),0,0,0,,
자산총계,93,517,568,665,704
부채총계,24,38,61,102,157
자본총계,68,480,508,563,547
  자본총계(지배),68,480,507,563,547
  자본총계(비지배),0,,0,,
자본금,0,34,34,34,34
영업활동현금흐름,42,46,30,54,-87
투자활동현금흐름,-21,-287,35,-137,127
재무활동현금흐름,-10,351,-19,-10,-25
CAPEX,26,18,12,8,78
FCF,17,27,18,46,-165
이자발생부채,0,0,4,4,16
영업이익률,12.44,12.35,8.44,5.67,0.78
순이익률,11.26,11.42,6.88,5.37,0.14
ROE(%),73.32,22.09,9.03,11.76,0.47
ROA(%),54.66,19.82,8.21,10.21,0.38
부채비율,35.71,7.85,11.94,18.13,28.66
자본유보율,"136,085.08","1,309.15","1,420.13","1,591.14","1,540.91"
EPS(원),746,"1,055",655,925,38
PER(배),,19.15,25.19,26.33,829.67
BPS(원),"1,295","7,046","7,517","8,361","8,124"
PBR(배),0.00,2.87,2.20,2.91,3.91
현금DPS(원),57,100,70,300,30
현금배당수익률,,0.50,0.42,1.23,0.09
현금배당성향(%),7.65,11.25,10.60,32.08,77.50
발행주식수(보통주),"5,260,000","6,806,034","6,806,034","6,806,034","6,806,034"
