주요재무정보,"2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"4,701","10,239","11,089","11,813","13,424"
영업이익,"1,040","1,888","2,132","2,401","2,865"
영업이익(발표기준),"1,040","1,888",,,
세전계속사업이익,861,"2,032","2,162","2,442","2,857"
당기순이익,649,"1,522","1,649","1,860","2,185"
  당기순이익(지배),633,"1,485","1,627","1,854","2,128"
  당기순이익(비지배),16,37,,,
자산총계,"7,177","8,299","9,533","11,428","13,776"
부채총계,"2,093","1,778","1,577","1,749","2,118"
자본총계,"5,085","6,522","7,956","9,679","11,658"
  자본총계(지배),"4,952","6,352","7,830","9,553","11,466"
  자본총계(비지배),132,169,,,
자본금,39,39,40,40,39
영업활동현금흐름,"1,384","1,319","2,345","2,260","3,329"
투자활동현금흐름,-164,-531,-610,-556,-519
재무활동현금흐름,-164,"-1,004",-166,-152,-159
CAPEX,168,622,601,539,517
FCF,"1,216",697,"1,412","1,583","1,888"
이자발생부채,970,243,,,
영업이익률,22.12,18.44,19.22,20.32,21.34
순이익률,13.80,14.87,14.87,15.74,16.28
ROE(%),,26.28,22.94,21.34,20.24
ROA(%),,19.67,18.49,17.75,17.34
부채비율,41.16,27.26,19.82,18.07,18.16
자본유보율,"12,225.45","15,654.70",,,
EPS(원),"16,179","19,093","20,912","23,839","27,351"
PER(배),16.83,14.59,11.48,10.07,8.78
BPS(원),"63,766","81,797","100,822","123,013","147,647"
PBR(배),4.27,3.40,2.38,1.95,1.63
현금DPS(원),"1,950","1,950","1,988","2,025","2,150"
현금배당수익률,0.72,0.70,0.83,0.84,0.90
현금배당성향(%),23.94,10.20,9.50,8.49,7.86
발행주식수(보통주),"7,778,566","7,778,566",,,
