주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,392,362,434,635,775
영업이익,13,-5,7,55,1
영업이익(발표기준),13,-5,7,55,1
세전계속사업이익,10,-7,9,56,-146
당기순이익,10,-7,9,64,-136
  당기순이익(지배),10,-7,9,64,-136
  당기순이익(비지배),,,,,
자산총계,187,176,219,310,469
부채총계,131,140,174,195,233
자본총계,56,36,45,115,235
  자본총계(지배),56,36,45,115,235
  자본총계(비지배),,,,,
자본금,15,15,15,15,41
영업활동현금흐름,2,67,-7,-32,-36
투자활동현금흐름,-10,-12,-2,-9,42
재무활동현금흐름,-5,-24,17,27,17
CAPEX,1,5,2,6,7
FCF,1,62,-9,-38,-44
이자발생부채,95,71,88,117,153
영업이익률,3.37,-1.32,1.53,8.71,0.10
순이익률,2.53,-2.06,2.16,10.09,-17.59
ROE(%),19.36,-16.17,23.16,80.19,-77.92
ROA(%),5.17,-4.09,4.75,24.23,-35.03
부채비율,233.61,392.09,385.06,170.23,99.17
자본유보율,279.29,141.71,205.03,674.10,475.45
EPS(원),24,-18,23,157,-333
PER(배),,,,,N/A
BPS(원),137,87,110,280,575
PBR(배),,,,,4.00
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"40,910,160","40,910,160","40,910,160","40,910,160","40,910,160"
