주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,222","1,283","1,461","1,513","1,472"
영업이익,183,146,169,191,129
영업이익(발표기준),183,146,169,191,129
세전계속사업이익,161,147,166,169,158
당기순이익,132,122,141,144,129
  당기순이익(지배),132,122,141,144,129
  당기순이익(비지배),,,,,
자산총계,804,925,"1,014","1,333","1,512"
부채총계,399,419,379,302,351
자본총계,405,506,635,"1,031","1,161"
  자본총계(지배),405,506,635,"1,031","1,161"
  자본총계(비지배),,,,,
자본금,48,48,48,56,56
영업활동현금흐름,95,176,109,148,148
투자활동현금흐름,-70,-84,-57,-230,-153
재무활동현금흐름,-24,-84,-64,218,-1
CAPEX,62,67,43,44,109
FCF,32,110,67,104,39
이자발생부채,178,201,151,118,118
영업이익률,14.96,11.38,11.54,12.65,8.73
순이익률,10.80,9.55,9.67,9.51,8.77
ROE(%),37.01,26.89,24.76,17.27,11.78
ROA(%),18.04,14.17,14.57,12.26,9.07
부채비율,98.61,82.75,59.62,29.27,30.25
자본유보율,661.87,954.17,"1,223.47","1,756.78","1,989.16"
EPS(원),"1,375","1,276","1,472","1,473","1,162"
PER(배),,,,18.06,15.71
BPS(원),"4,218","5,271","6,617","9,284","10,446"
PBR(배),0.00,0.00,0.00,2.87,1.75
현금DPS(원),365,0,125,0,300
현금배당수익률,,,,0.00,1.64
현금배당성향(%),26.52,0.00,8.49,0.00,25.82
발행주식수(보통주),"9,600,000","9,600,000","9,600,000","11,110,000","11,110,000"
