주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,250","2,669","3,086","4,033","3,853","4,402","4,964"
영업이익,483,492,441,797,444,570,662
영업이익(발표기준),483,492,441,797,444,,
세전계속사업이익,450,550,531,752,483,620,710
당기순이익,407,427,403,548,451,553,600
  당기순이익(지배),407,427,403,535,452,566,614
  당기순이익(비지배),,0,-1,13,-1,,
자산총계,"2,576","2,968","3,463","4,054","4,439","5,170","5,810"
부채총계,362,355,516,679,618,930,"1,040"
자본총계,"2,214","2,613","2,946","3,375","3,821","4,240","4,770"
  자본총계(지배),"2,214","2,613","2,945","3,360","3,806","4,270","4,830"
  자본총계(비지배),,,2,15,15,,
자본금,31,31,31,31,31,30,30
영업활동현금흐름,359,380,326,801,398,410,470
투자활동현금흐름,-259,-368,-238,-262,-479,-240,-200
재무활동현금흐름,-35,-42,-101,-118,-110,160,140
CAPEX,338,50,18,125,13,0,0
FCF,21,330,309,676,385,,
이자발생부채,54,56,197,157,132,,
영업이익률,21.48,18.43,14.29,19.75,11.53,12.96,13.33
순이익률,18.07,16.00,13.05,13.59,11.69,12.56,12.08
ROE(%),19.60,17.70,14.52,16.96,12.61,14.00,13.48
ROA(%),17.20,15.41,12.53,14.58,10.61,11.51,10.92
부채비율,16.34,13.59,17.53,20.11,16.18,21.93,21.80
자본유보율,"7,026.93","8,310.25","9,691.97","11,160.75","12,382.41",,
EPS(원),"6,540","6,870","6,489","8,603","7,269","9,097","9,869"
PER(배),6.94,7.61,7.86,7.57,5.92,4.77,4.40
BPS(원),"36,556","43,334","48,834","55,729","63,123","70,815","80,102"
PBR(배),1.24,1.21,1.04,1.17,0.68,0.61,0.54
현금DPS(원),500,"1,150","1,300","1,200",840,900,900
현금배당수익률,1.10,2.20,2.55,1.84,1.95,2.07,2.07
현금배당성향(%),7.45,16.24,19.43,13.53,11.21,9.89,9.12
발행주식수(보통주),"6,216,363","6,216,363","6,216,363","6,216,363","6,216,363",,
