주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,435,444,438,435,483
영업이익,55,38,26,13,38
영업이익(발표기준),55,38,26,13,38
세전계속사업이익,18,60,-2,9,43
당기순이익,11,55,3,15,44
  당기순이익(지배),11,55,3,15,44
  당기순이익(비지배),,,,,
자산총계,515,649,681,715,952
부채총계,214,292,235,254,403
자본총계,301,357,445,460,550
  자본총계(지배),301,357,445,460,550
  자본총계(비지배),,,,,
자본금,24,24,26,26,27
영업활동현금흐름,42,46,45,50,39
투자활동현금흐름,-68,-144,6,-55,-221
재무활동현금흐름,-4,101,-27,12,181
CAPEX,24,44,151,74,56
FCF,17,2,-105,-23,-17
이자발생부채,154,189,129,167,258
영업이익률,12.59,8.66,5.90,2.88,7.95
순이익률,2.50,12.36,0.65,3.45,9.13
ROE(%),4.29,16.68,0.70,3.32,8.73
ROA(%),2.35,9.43,0.43,2.15,5.29
부채비율,71.04,81.65,52.81,55.22,73.24
자본유보율,"1,176.36","1,383.85","1,590.56","1,645.71","1,969.94"
EPS(원),46,229,11,57,166
PER(배),89.03,11.15,279.68,124.48,76.32
BPS(원),"1,278","1,486","1,692","1,749","2,070"
PBR(배),3.21,1.72,1.87,4.06,6.14
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,565,158","24,045,158","26,323,057","26,323,057","26,558,307"
