주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,222,218,221,167,248
영업이익,-2,1,2,-25,-50
영업이익(발표기준),-2,1,2,-25,-50
세전계속사업이익,-4,1,3,-34,-113
당기순이익,-6,1,3,-30,-123
  당기순이익(지배),-6,1,3,-30,-123
  당기순이익(비지배),,,,,
자산총계,341,359,409,443,768
부채총계,137,145,189,245,466
자본총계,204,214,220,199,302
  자본총계(지배),204,214,220,199,302
  자본총계(비지배),,,,,
자본금,41,41,41,41,56
영업활동현금흐름,24,16,27,-10,-51
투자활동현금흐름,-11,-16,-85,-17,-171
재무활동현금흐름,-24,15,43,61,379
CAPEX,10,18,90,19,114
FCF,14,-2,-63,-29,-165
이자발생부채,84,92,135,192,402
영업이익률,-0.99,0.50,1.09,-14.68,-20.12
순이익률,-2.53,0.57,1.39,-18.12,-49.56
ROE(%),-2.76,0.60,1.42,-14.48,
ROA(%),-1.59,0.36,0.80,-7.11,
부채비율,67.11,68.00,86.00,123.24,154.46
자본유보율,409.04,425.31,440.01,387.98,413.25
EPS(원),-14,3,8,-74,-265
PER(배),N/A,150.38,63.68,N/A,N/A
BPS(원),526,530,544,492,545
PBR(배),1.01,0.87,0.88,3.56,6.06
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"40,893,855","40,893,855","40,893,855","40,893,855","55,837,092"
