주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,714,791,"1,041","1,120","1,218"
영업이익,35,31,31,61,58
영업이익(발표기준),35,31,31,61,58
세전계속사업이익,40,28,33,67,59
당기순이익,31,23,-119,60,62
  당기순이익(지배),31,23,-119,60,62
  당기순이익(비지배),,,,,
자산총계,340,516,658,509,769
부채총계,174,213,481,283,479
자본총계,166,302,177,226,290
  자본총계(지배),166,302,177,226,290
  자본총계(비지배),,,,,
자본금,15,20,20,20,59
영업활동현금흐름,23,20,-9,11,88
투자활동현금흐름,-4,-100,0,10,-9
재무활동현금흐름,-23,85,105,-134,45
CAPEX,0,3,7,1,1
FCF,23,17,-16,10,87
이자발생부채,26,2,101,11,64
영업이익률,4.86,3.88,2.94,5.46,4.76
순이익률,4.31,2.89,-11.40,5.37,5.12
ROE(%),20.58,9.77,-49.58,29.88,
ROA(%),9.73,5.35,-20.25,10.32,
부채비율,104.38,70.55,271.89,125.38,165.04
자본유보율,"1,019.22","1,401.98",791.95,"1,082.62",409.58
EPS(원),360,231,"-1,002",507,525
PER(배),3.82,18.61,N/A,11.84,7.55
BPS(원),"1,904","2,549","1,491","1,923","2,469"
PBR(배),0.72,1.69,1.47,3.13,1.61
현금DPS(원),0,0,0,0,50
현금배당수익률,0.00,0.00,0.00,0.00,1.26
현금배당성향(%),0.00,0.00,0.00,0.00,9.43
발행주식수(보통주),"8,742,351","11,860,430","11,860,430","11,860,430","11,860,430"
